Comentarios,Sentimiento
 infraestructura bien es indignate  ver que  mayoría de  profecionales de  salud no tienen vocación cálidad humana empezando con  emergenciologos groseros  no tienen un lugar para realizar un procedimiento tengan que,neutro
"si pasa algo con  turnos tengan  decencia de escribir por mensaje o por correo electrónico
no es un servicio gratiuito  personas pagan todos  meses",neutro
en este momento en  piso se encuentran con aire acondicionado prendido cuando  temperatura es tan baja que se están congelando  no apagan  aires se ha pedido a enfermería  que informe a mantenimiento que  apaguen porque es,neutro
pésima atención por parte de una señorita que está en  área de terapias hoy me acerque a entregar documentación para terapia del lenguaje y lo que me respondió que ahí no me ayudan con  turno que me vaya al iess de chimbacalle cuando,negativo
hace 6 meses mi hija  se corto  deditos con unas latas por lo que tuvieron que suturarla varios puntos pero por seguridad también tenían que ponerle una inyección contra  tétanos muy lamentable  atención de  enfermeras que,neutro
a mi me han atendido bien tanto  personal  en farmacia al gobierno hay que exigir que pague  deuda y que se revise  atención a familiares y seguro campesino,neutro
lastimosamente tengo  que a pesar de poseer todos  equipos requeridos a mi esposo no pudieron detectarle una apendicitis y le dieron  alta medica mandandole a tomar solo suero oral a penas salio del hospital  dolor,neutro
en emergencias mamá duro 3 días sabían q mi madre tenía cáncer desde que llegó y en  vez de derivar  a un hospital con oncólogo me dieron entrada aquí si un oncólogo lee esto y es del seguro sepan que diagnosticar cáncer con lugar y biopsia,neutro
no tienen insumos médicos no hay camillas ni ambulancias le sacaron en brazos a mi abuelita de emergencias por años pago  seguro para que ahora brinden una atención mediocre,neutro
 hospital estatal más grande del país con infraestructura y profesionales de primer nivel atiende a todos  afiliados del sistema público de seguro social,neutro
si te atienden pero lo que hay en existencia te dan y lo que no tienen  de tu bolsillo que más toca gobernados por un bachiller,neutro
dice ser de  mejores hospitales por su infraestructura y atienden  emergencias en una carpa en  parqueadero que clase de atención es esa y en lluvias hasta  luz se va,neutro
nose para que publican un pto numero de telefono si  van a tener apagados,negativo
a nombre de mi hijo mateo santamaría quién fue operado de apendicitis en éste hospital debo agradecer por  profesionalismo y  buen trato de que fue objeto en  días que permaneció en ese lugar,positivo
buen trato al paciente  y a  familiares mi hermana estuvo bien atendida   creo que debería mejorar  flujo de información sobre  condiciones de  pacientes,neutro
gracias  al trabajo tesonero de rafel correa  ecuador tiene lindos hospitales escuelas del miliños centros médicos  pero ahora con lasso no hay medicinas,neutro
una hora disque cambio de turno y no asoma nadie éramos cuatro para atendernos y ya somos casi 30 ni un responsable ni una palabra,neutro
buena atención cuando se está agendado para agendar si es un problema porque todo está copado por  demanda que hay de atención,neutro
moderno hospital  en  sur de quito que ayuda a descongestionar  atención clinica de  afiliados del iess lo negativo es que falta personal de enfermeria y medicos especialistas pero  infraestructura es de primera,neutro
es un verdadero hospital de varias especialidades médicas y atienden muy bien,positivo
ten8a cita sacada hace 45 días y c7ando llegue me informaron que reagendaron  citas y  mía fue hace 20 días nunca fui informado  instalaciones son de primera,negativo
 servicio y trato al pacientejuegan con  dinero y sobre todo  vidavida  puede ser posible que una paciente entre por emergencia grave y no den una razón  se encuentra ya 5 horas,neutro
pesima atención x  medicos de oftalmologia uno se va x emergencia y te atienden cuando a ellos les da  gana,neutro
muy buena atención en  ámbito clínico pos operatorio y covid tanto de enfermeras y doctores,positivo
hospital muy acogedor con una buena infraestructura,positivo
no tuve problema ya tengo  cita médica para  miércoles 27,positivo
estoy   aquí desde   11 de  noche  son  1 y 10 del madrugada  y no me atiende  nadie  no se para que pago  si no te atiende  nadie,negativo
es uno de  mejores hospitales públicos de  capital sin embargo seria ideal que se agregan nuevas especialidades,neutro
gracias por  oportuna atención a mi padre durante  emergencia sanitaria por covid19,positivo
desagradable ese hospital solo ven  beneficios y no les importa  vida,negativo
ponen un numero telefónico 023982700 y ni contestan deberían de tener algún numero donde uno pueda pedir información,negativo
es una belleza  lugar y  atención un poquito de paciencia y listo,positivo
esperemos que siga así con una buena atención al publicó siempre,positivo
a pesar de que  mismos problemas ocurren una y otra vez nunca parece haber mejoras cada vez que  laboratorio deja de funcionar es una auténtica pesadilla  quioscos de facturación están amontonados hoy uno está fuera de servicio,negativo
me parece que  número convencional para información de este hospital  san francisco es lamentablemente ridículo ya que no contestan solo funciona  grabación y  momento que se va a poner  número de extensión vuelve otra vez ,negativo
pésima nefasta atención nos hicieron regresar a  casa en tres ocasiones indicando que mi esposa aún no dilataba mi nena nació en  casa por negligencia de toda esta gente que no sabe hacer su trabajo y eso que no explico con detalles,negativo
pesima atención  desde  triaje pediátrico  enfermera de turno en  noche  muy antipática e impertinente  casi no le atienden a mi hijo con una fiebre alta segun ella era una  nada más mi hijo empeoró aparte  con una,negativo
hoy fui atendida en  hospital san francisco exámenes de laboratorios  gracias muy buena atención  pese a que es  inmensamente grande  cantidad de pacientes  incluso  muchos jovenes y niños que no pagan nada y va en desmedro de esta,positivo
un hospital que no sirve para nada solo dejan a  pasientes tirados en una esquina con un suero por 6 horas y  guardias muy antipáticos ven que  personas se desmayan y solo voltean  mirada,negativo
" peor experiencia de mi vida en una sala de urgencias mi novia tenía apendicitis y se demoraron 18 horas en darnos  diagnóstico
después de muchos exámenes a lo que nos dicen que no nos pueden atender ahí",negativo
pésima atención por  persona que entrega  turno para ser ingresado  pésima limpieza se ven en  pasillos  capas que ponen sucias incluso de sangre no se tiene personal de enfermería un paciente tiene que atenderse solo que,negativo
 atención en este hospital es pesima les calificara con cero pero no se puede mi mamá  día de ayer ingreso por emergencias le faltaba  oxigeno ingresamos a  2 de  tarde y hasta  6pm nunca  atendieron se les reclama al,negativo
pesima atención pascientes con fracturas pueden estar más de 15 días sin atención que clase de administración tienen y se dicen profecionales de  salud asco es lo que dan,negativo
 verdad me siento decepcionado hace una media hora me regresé del hospital san francisco en quito a casa sin atenderme fuimos a emergencias un dolor en  pecho en  brazo y mareos soy diabético e hipertenso no querían que mi,negativo
se demoran demasiado en atender una emergencia no dejan ingresar a  familiares muriendo de frío afuera regresé con mi esposo sin que lo atendieran porque no aguantaba más  dolor,negativo
hay una tipeja que toma  signos vitales que no atiende apropiadamente se le explica  situación y aún así  no urgente un asco de servicio esta gente debería de ser despedida pero creen que es gratis y no no es gratis  atención son unos pseudo profesionales de profesionales no tienen nada,negativo
muy deficiente  trato que se da a  familiares de  hospitalizados si bien es cierto que sólo pueden dejar ingresar un visitante por paciente me parece ilógico y hasta un atropello a  derechos humanos pues no hay  debido,neutro
"parece que están sin ganas de atender y creen que hacen  favor o  gran sacrificio de atender a  personas
en fin pésima atención",negativo
es un gran hospital   todo en  últimos 5 años de gobierno es  falta de personal de salud  deficiente administración  poco presupuesto para medicinas ausencia de control y gestión en  mantenimiento de  equipos e,neutro
atención pésima estuve en emergencia con un pronóstico reservado y en un examen tan  sacar sangre me dejaron  aguja metida chorreando sangre todo por preocuparse por  tubo de muestra se imaginan eso cuando uno estaba con,negativo
necesito hablar por teléfono con alguien del hospital y nunca contestan,negativo
para  recurso de  que disponen y  sueldo que les pagan a  empleados en  hospital relativamente bien se han manejado he estado por varias emergencias de familiares y  atención es relativamente buena,positivo
si no fuera por su sala de emergencia que es muy lenta y depende de  atención de  médicos del hospital para que ellos atiendan a sus afiliados en su tempo que les queda seria muy buena su atención,neutro
dice que  ubicación de este sitio es en  calle junín es erróneo si esto queda por carcelen señores de google por favor eliminen está ubicación en calle junín  parece que alguien puso a propósito un duplicado de este sitio en,neutro
estuve en  casa abierta y me   hospital trata  desechos químicos y  desechos contaminantes  estaban exponiendo algunas  empresa con  que trabajan   mismas que informaban  cuáles son  medios y,neutro
 atención en emergencias es deficiente  veces que entré he logrado  pasan  tiempo sobre todo  doctores especialistas y no atienden de manera oportuna aunque exista espacio y personal libre en derivaciones,negativo
pésima atención lleve a mi niña de 4 meses y mi niño 4 años con dolor y diarrea  no tenían fiebre no  atendieron después de 6 horas me dicen que no es emergencia porque no tienen fiebre que espere 24 horas me fui de hay sin atención,negativo
fue decepcionante ayer martes desde  1320 ingrese a mi hijo recién al triage 1630 y me quedé hasta  1900 porque  que solo hay un solo médico y muchos niños con tanta dolencia que no fueron atendidos mi hijo fue con,neutro
son inhumanos se tanto tiempo aportando mi madre para que le manden paracetamol y ni siquiera realizan una adecuada valoración de  pacientes ahora mi madre está internada en otra casa de salud particular ya que  dicho seguro social casi me deja morir,neutro
 doctores jóvenes que ni saben  protocolos  señoritas de admisión que no saben lo que es una emergencia y creen que tienen más poder que  doctores más practicantes que médicosun relajo todos por todo lado y después  covid es porque se sale a  callevergüenza,neutro
pésima atención en información imagen lo peor de lo peor y urología no saben tratar a sus pacientes son groseros y groseras especialmente con adultos mayores,negativo
si pudiera calificar a este centro de salud hablando por pediatría  calificación de este sería de 0  demás areas serían de una a maximo dos estrellas  dispensarios del ministerio de salud pública son un lujo  mejor de todos,neutro
estamos en emergencia con mi familiar angela maria ruiz alcivar en este momento y esta que se muere del dolor porque parece que tiene apendicitis y estos del iess nada que nos atienden estamos en  san francisco y resulta que nos tienen a,neutro
es muy triste e indignante lo que voy a contar de este centro de salud mi madre fue ingresada por emergencia  madrugada del 8 de agosto sobre  dos de  mañana a lo cual ella llega con un fuerte dolor de estómago pero  personas,neutro
indignante son  11 de  noche y mi abuelita a punto de tener un infarto nos ingresan a una sala para hacerle un electrocardiograma llega un medico y por preguntar si,neutro
 ascensores no sirven y se necesitan para traslado de pacientes que no pueden subir gradas por reciente cirugía,neutro
 atención es buena dentro de lo q cabe  médicos hacen su mejor esfuerzo pero  gente cree q siempre tiene prioridad,neutro
ayer esta un paciente muy grave y no le dan ingreso al hospital esta con peritonitis es un joven con ganas de vivir pero  hospital lo tiene afuera por más que le dieron  tralado pido un poquito de solidaridad que lo ingresen a una cama hospital san fransisco de quito,neutro
ubicacion erronea en  mapa aparece en calle junin    hospital san francisco del iess es en  av jaime roldos sector carcelen,neutro
nadie contesta  telefonos del hospital  es increible  falta de entrega del personal  necesito informacion urgente ya voy una hora de llamada y nadie contesta,neutro
buenas noches por favor de ibarra viaja una paciente de urgencia es afiliada al iess si esta  hospital en condiciones de recibirla,neutro
 atención médica es aceptable si estas asegurado pero  atención es lenta y no te suelen atender rapido,neutro
toda  tarde gastando saldo para pedir una cita y nunca me contestaron lamentable,neutro
pésima atención y servicio deplorable sin sistema y nada de información para  usuario,negativo
 lugar es nuevo   siempre es  atención hay que llegar con un cuchillo clavado en  pecho para que te atiendanme refiero a emergencias,neutro
buenas tardes quisiera saber si estan cogiendo personal para limpieza y donde hay que dejar  carpeta gracias,neutro
pésima atención por parte de enfermería en cuidados,negativo
desde  ingreso pésima imágen  guardias son unos altaneros,negativo
 amabilidad y  atención hacia  usuario muy agradecido,positivo
además de ser médicos son tambien amigos de  pacientes,positivo
porque no les interesa  estado de  personas deben estar cansados de lidiar con lo mismo que se han vuelto insensibles,neutro
centro con varias especialidades lo mantienen limpio  guardias son un poco intransigentes debo acceder a veces con mi padre que tiene movilidad reducida y requiere de asistencia y no me dejan pasar,neutro
es limpio buena atención de  médicos solo que en  4to piso traumatología es pésima  atención en  triaje no menos precio  trabajo de personas venezolanaspero que pésima atención se dejan amontonar  gente así se pierde tiempo y  doctores piensan que uno es  que viene atrasado,neutro
están tomando todas  medidas del covid para  ingreso  sitio es amplio y limpio aún así no están asignando citas hasta que pase a verde  semáforo y me parece que por  dimensiones podrían habilitar al menos algunas consultas y especialidades para no limitar  servicio,neutro
me siento muy inconforme ya que personalmente yo cogi una cita para  otorrino para mi hijo  cual me lo asignaron para  23 de enero y ahora que reviso en  me lo cambian al 15 de febrero  cual ni siquiera an tenido ,neutro
muy buena atención a  afiliados  ojalá no cambien  empleados de esta institucióngracias al gobierno que ha sabido hacer una buena inversión con  dinero de  asegurados,neutro
son unas basuras de personas en atención al usuario,negativo
abierto recientemente impresionante infraestructura médica,positivo
es  segunda vez que acudo hacerme exámenes de laboratorio después de conseguir una cita desde hace 3 meses para llegar hacer una fila enorme a  madrugada y que me den  agradable noticia de que solamente podían hacerme un exámen de 4,neutro
fuí a  1 de mañana con un dolor intenso y vomitando por  vesícula lo único que me dijeron fué no hay sistema vaya al hospital iess del sur   personal es negligente,negativo
 recepcion a  pacientes es demasiado robotizada por favor señores guardias aprendan relaciones humanas y señores y señoras recepcionistas a un hospital no se viene por deporte sino por necesidad,neutro
se debe mejorar  servicio al menos en  área de validación de certificados es pésima  atención  cantidad de personal o  horario no abastece a  demanda solo se atienden 50 personas al día  colas para alcanzar un turno son,neutro
uno se acerca con tiempo para que le tomen  signos vitales a 720 de  mañana ya que se tiene vita medica a  820 va uno con tiempo para que no se aglomere  turnos y no le atiendan más tarde,neutro
 peor atención  guardias ni que decir y si vas a  emergencia un fin de semana solo te atienden estudiantes sin experiencia lamentablemente esto pagamos y es un servicio de pacotilla,neutro
hoy 201023 mi esposo se encuentra desde  4 de  tarde en este hospital si así se le puede llamar porque presenta inflamación en  ganglios linfaticospero para  enfermeras de este lugar eso no es una emergencia y por ende,neutro
es pésimamente  atención a  pacientes ni siquiera entienden  palabra de urgencia médica hay  son de tercera edad que deberían ser  propiedad de atención   niños pero ni ha eso señores,negativo
cuando llegue le atendieron a mi hija mejor que clínica privada salí muy satisfecha,positivo
emergencias me atendió de inmediato por  estado en que me encontraba no hubo tetanol salí de ahí y me tocó buscar en otros lugares consiguiendo únicamente en novaclinica quienes para administrar  medicamento me hicieron regresar al,neutro
pésima atención se demoran en hacer pasar  turnos sí  usuarios que ya se encuentran ahí para  respectivo turno deberían hacerlos pasar si  que llegó atrasado que pena que aprenda a ser puntual al turno asignado y por impuntual no va perjudicar a  que si llegan puntuales,negativo
si pudiera poner 0 estrellas lo hiciera 5 horas en emergencia y nunca fue atentido mi hermano no es gratis es pagado  peor atención que verguenza de servicio,negativo
hospital del día sangolqui posee grandes y cómodas instalaciones adecuadas para  pacientes que acuden porservicios médicos a sus instalaciones constituye uno de  hospitales que conforman  red de servicios médicos del ieess ,positivo
es una pésima atención han pasado más de una hora supuesta mente atendiendo un paciente y resulta que era familia del doctor se supone q emergencias se   su nombre lo dice por emergencia me parece una falta de respeto de parte del dr moncayo de medicina general 1,negativo
con  presidente lasso todo empeoró que pena porque ella sistema de salud en ecuador era un referente hace 10 años,neutro
imposible una cita medicina general  autoridades están ausentes no hay información  call center demuestra  ineptitud de  atención no se pude conseguir cita para cuándo,negativo
hola necesito ayuda por favor esq a mi hijo tienen que operarle de  testículos  tiene 2 años y medio pero no sé si le operen ahí mismo o le manden al vaca ortiz alguien me puede ayudar,neutro
es  lugar donde tu familiar  por negligencia médica puede morir,negativo
buena atención dios bendiga a  prestadores de salud,positivo
atención rápida y todo parece  se ve limpio y seguro,positivo
buena atención cuidan  procedimientos anti covid,positivo
 día de hoy mi hija tenía cita cita médica pero  pediatra no quiso atenderle ahí nadie hacia nada más que conversar y estar en  celular hasta  dra déspota prefirió no atender a mi hija que le dije que está enferma con fiebre y,neutro
no hay turnos por  no hay medicinas no atienden en  laboratorio para  agendamiento de citas en  tarde no hay reactivos para exámenes de laboratorio por ende no dan cita para exámenes de laboratorio dan citas para exámenes de imagen después de 4 meses todo un desastre con este gobierno,negativo
se puede mejorar  atención a  pacientes en  áreas en dónde se toma de turnos para  exámenes y también en farmacia,neutro
"no sé para que se asigna citas si  médicos no atienden a tiempo se llega con tiempo respetando lo que indican pero no atienden
 enfermeras no dan información y se pasan conversando en lugar de ayudar
este servicio no es gratuito mensualmente pagamos por  se debe mejorar",neutro
