,Comentario Corregido,Sentimiento
408,no me llaman hasta ahora para darme  derivacion desde  28 de febrero llevo esperando para una endoscopia y colonoscopia urgente que me derivo  gastroenteorologa de biodilab llamo y no responden ningun telefono terrible atencion y servicio,negativo
409, chiste de  sala derivaciones es un espacio para estar calentando  puesto se espera meses para tomar un turno en especialidad  gente que trabaja  ineficiente recibiendo  sueldo de gratis terrible  situación de ese intento de hospital,negativo
412,"no me gustó para nada hacen perder mucho en tiempo hay que sacar turno para  turno del turno
adicional  dr cando de medicina familiar muy mal educado  ofensivos y fuera de lugar y se burla de  de  pacientes pésimo lugar",negativo
416,muy buena  atención de su personal lo único que  recepcionistas de  piso 4 no dan buena información uno va a pedir por favor un turno y brava dice no hay aquí para oftalmología vaya a otro dispensario del iees con una mala actitud ni para traumatología,negativo
417,buenas tardes tengo una solicitud para derivación de clínicas privadas con convenio para colposcopia endoscopia y colonscopia pero me dicen que debo esperar 2 meses por lo menos para   respuesta pueden ayudarme con estos,negativo
419, atención es muy demorada pero lo realmente malo es que  baños están muy sucios y no hay papel higiénico y es un centro de salud,negativo
420,pésima atención  oftalmología muy mala  doctora se enoja con  pacientes y les habla mál pésima para  atencion debería sacarla no se porque atienden mal si una pága iess para  buena  atención pero muy mal servicio de oftalmología y odontólogia  no l,negativo
421,por que  stra que atiende en  recepción no se rije   es su obligación  a  personas que tienen su  le ve que está con uniforme de doctora le ase rápido  trámite de sacar turno mientras  resto tiene que esperar y mirar  monitor a ver si pasa algún número todo está burocracia tiene que cambiar,negativo
424,para  atención de referencia en ventanilla fue rápido claro llegue a  1200 horas  lo malo es que ni hay parqueadero cercano,negativo
433,necesito poder  quejarme de un mal servicio  a donde acudo,negativo
437,pésimo trabajo de  pediatras no les importa  niñ,negativo
452, guardia que entrega turnos es   y estafador entrega turnos a su conveniencia sin respetar ni hora de llegada ni edad de  pacientes ni nada a  personas de  tercera edad les  animales ponen un guardia,negativo
453,"no tienen una sala de espera adecuada solo hay una carpa fuera hace demasiado frío
 atención es demorada poco personal y  trabajadores no son muy amables
no hay medicinas",negativo
454,"malo malo malooooo
cómo es posible que en un hospital hayan dos doctores para atender a todas  personas",negativo
455,pésimo servicio en especial con  de uci  una evelyn cevallos y creo que es  amante por que aparte parece cabaret gracias al espectaculo tan deplorable de esta gentuza  deberían sacar de nomina a esos sinvergüenzas,negativo
460, atención mala mi hija muy mal y no dan  prioridad a niños y adultos mayores están afuera padeciendo y nadie les atiende rápido,negativo
461,un pésimo servicio parece que todo mundo está se vacaciones nadie atiende todos en  cháchara,negativo
465,es un desperdicio de dinero  seguro se paga un seguro por ser bien atendido llegué con temperatura alta en  madrugada 410am y nos hicieron esperar afuera en  frío casi dos horas no sirve de nada tener seguro,negativo
466, área de validacion no tratan con amabilidad mejor diríjase a  doctores o enfermeras cuáles aún tienen algo de decencia y amor por ayudar al enfermo que es muy posible que les atiendan y no tengan que esperar meses en su cabio de turno,negativo
470, tiempos de espera en dias normales no son largos son muy largos eso si  dias despues del feriado esos dias se llenan de gente buscando certificados hay carencia de especialistas en  emergencia aunque  mayoria del tiempo hay,negativo
471, tiempo de espera es demasiado  atención es buena pero no hay medicinas toca salir  fuera del hospital y eso está mal ya q estamos aportando,negativo
476,este hospital está abierto  24 horas del día pero  atención es muy mala para una  mínimo hay que esperar 4 horas aunque estés pagando por  servicio  verdad es muy deficiente creo que realmente no atienden,negativo
479,pésimo servisio  de entrada no hay una ventanilla done se pueda preguntar se le pregunta a alguna enfermera o doctora no saben nada bueno me puse en  fila donde deriban  examenes parada una hora en  fila llego a ,negativo
480,pésimo servicio   servicio pésimo  atención  por mencionarle en  área de emergencias   atención en  sector donde se dan  turnos  uhhh esa persona que atiende  me  hay gente así que esta en esos puestos  pésimoparecía mudo  eso debe cambiar poner gente que verdaderamente sirva de algo,negativo
481, atención es un poco lenta y hay varias personas que atienden con mala actitud por supuesto no son todos pero si deja bastante que desear,negativo
483,"pésimo  suministros de aseo no son  adecuados usan  misma jeringa de  medicacion para nebulizaciones fines de semanaaparte q no una guantes ni mascarilla y no se protegen con gel antibacterial
pésimo pésimo pésimo",negativo
484,pésima atención  personal es lento e indolente además que no son capaces de atender cosas sencillas asistí a emergencias con mi hija por una fractura de brazo y después de perder más de una hora me dijeron que vaya a otro hospital porque ellos no tienen traumatologo,negativo
485,dejan pasar a quien les dé gana por preferencias si son amigos o familiares no les hacen esperar 4 horas por emergencia,negativo
492,mal muy mal 4 horas y no pueden atender a mi hijo de 6 años hasta cuando,negativo
533,pésima  atención  señorita de agendamiento de turnos atiende a  pacientes sin amabilidad y es una patada grosera diciendome de manera grosera y alzandote  voz que ella no da informaciónes y que me valla a otro lado  primo pésimo pésimo  personal,negativo
534,no hay derivaciones ni tampoco para examen de control y  pediatra que atendió a mi hijo que actitud tan fea y cuando uno va a sacar cita solo hay en ese lugar  tampoco me dieron medicina ni nada pésimo servicio ir desde lejos para que lo traten así,negativo
535,"fui a una revisión te atienden con  puertas abiertas no hay privacidad  médico que me atendió no me preguntó absolutamente nada me dijo a que viene 
tuve que esperar 130 para retirar medicina de  farmacia no había nada",negativo
536,mi hija tuvo cita con una pediatra pero ella muy arrogante ni siquiera me escuchó cuando trate de explicar  situación de mi hija me interrumpía y de mala gana me dijo que ya me iban a llamar para que mi hija pueda ser intervenida ya,negativo
545,no buscan curar a  afiliados nadie controla  mala atención de  médicos,negativo
548,a ultimo momento me llamaron a cancelar mi cita para  cual espere 2 meses y me reagendan para dentro de 1 mes más no es  clínica es  iess en general es  colmo  mal servicio que dan a  ecuatorianos,negativo
555, pediatra que atendio a mi niña fue demaciado parco nada profecional le lleve a mi niña  de 1 año 3 meses de ead con malestar estomacal este medico dijo que solo esta tratando afecciones respiratorias extendio  receta,negativo
556,pésimo nadie da una buena atencion no guían al paciente te indican mal a dónde es que se tiene que acercarse y por eso  se pierden  turnos pésima atención  draguerrero de medicina interna se le explica y solo dice q vuelva a coger otro turno y todo por un minuto,negativo
562,en farmacia deberian agilizar  atención aumentar más personal no solo una persona se espera demasiado tiempo más de 30 minutos siendo un centro de salud debe evitarse  conglomeración de personas,negativo
563, centro de  del pueblo se encuentra al norte de  ciudad de quito cuenta con una gran infraestructura amplias salas de espera señalética adecuada para guiarse dentro del hospital buena atención del personal y parqueadero para visitantes en general buena atencion,negativo
564,nunca contestan  telefono a  afiliados me parece un maltrato de parte del centro no vamos a ir solo por una inquietud tan lejos,negativo
566,no contestan  número de teléfono a  afiliados está muy lejos para ir por una inquietud me parece muy mal eso porfavor cambien eso gracias,negativo
567,debería haber un control de tránsito en  afueras ya que  taxistas se estacionan donde les da   siempre y causan malestar en  trafico,negativo
568,pésimo servicio no se saca uno yendo allá si nunca tienen medicinas no se para que nos descuentan cada mes  si no hay un buen servicio,negativo
569, sala de espera está en  parqueadero y ahí mujeres embarazadas perdonas de  tercera edad aguantando frío deberían dar aunque sea una carpa para que no aguanten frío,negativo
574,pésimo nadie da una buena atencion no guían al paciente te hacen esperar y pierdes  turnos pésima atención,negativo
581,se llama al teléfono que aparece en  página pero no contestan mal servicio deben suspender y no hacer perder  tiempo,negativo
587, mala atención a  asegurados es  constante de este lugar y aparte de eso no tienen medicina para entregar,negativo
592,no sé para que ponen  número de teléfono en  página si nadie atiende no tienen personal o que es lo que pasa o simplemente pésimo servicio del iess lo cual no es de extrañar,negativo
632,pésimo servicio  funcionarios súper groseros  instalaciones deterioradas y  manera en que se manejan muy burocrática voluntariamente no volvería a ese dispensario,negativo
648,pésimo  trato a  afiliados si eres joven sal corriendo de allí y paga un seguro particular no hay donde dejar  bici y obligan a usar mascarilla menos  funcionarios que se  modelos si eres joven no pagues este servicio,negativo
649,pésimo servicio desde  señora de  ventanilla y demás trabajadores de  salud con sus excepciones desde luego mal mal de mal en peor  iesstratan al  si nos estuvieran haciendo un favor cuando nosotros aportamos mensualmente,negativo
655,pésimo  servicio y atención al usuario demasiado tiempo de espera para  un solo trámite,negativo
660,no están atendiendo me tocó rogarle al guardia que me dé un turno pésima atención voy desde  5pm  aquí y no me atienden para que se paga si no me atienden pésimo servicio,negativo
661,es limpio y funcional lamentablemente falta personal médico sanitario y administrativo  filas en servicio al usuario y farmacia son súper largas esperas de al menos 45min faltan medicinas en  farmacia y siempre se escucha decir que regresen a fin de mes que ahí de pronto y lleguen  medicamentos así desde  2018,negativo
662,pésimo trato lastimosamente  veces que me han dado cita allí  médico está de vacaciones y con decir venga tal fecha ya creen que resuelven  problema que ocasiona tiempo transporte  molestias etc no hay ni donde estacionar un,negativo
663,pésimo servicio mala gestión mala estructura administrativa horas para ser atendido y nadie da respuesta no es posible que solo atienden 2 doctores para  cantidad de pacientes que llegan con diferentes necesidades y lo peor es que se,negativo
668,acudí al triaje por un dolor abdominal  tardaron media hora en tomarme  signos vitales cuando lo hicieron un sr apellido simbaña me dijo que tenía que ir a  emergencia del hcam porque aquí no podía resolver mi malestar por cierto,negativo
669,es  peor lugar que e podido asistir son de lo peor que puede ver en  historia del mundo una atención de última pésimo personal,negativo
670, peor atención para mi hija  fuimos por una emergencia y tuvimos que esperar 5 horas para que  atiendan  aparte de que una sola persona estaba atendiendo a  niños y  llegaban muchas personas y  atendían enseguida pero para ,negativo
676,cero estrela en emergencia  triaje solo hay una persona que atiende a medio tiempo se requiere más atención más de una hora esperando y seguir esperando ni  signos vitales toman hay que agonizar para que le tomen importancia,negativo
677, atención horrible espera de más de 5 horas para ser atendido,negativo
681,"pésimo servicio
médicos sin empatia tienen a adultos de  tercera edad haciendo fila en farmacia cuando ya no pueden ni sostenerse en pie",negativo
683,pésimo servicio por parte del personal medico  día de hoy asistí por una cita y lamentablemente creo que  doctor burneo  cual me atendió es adivino porque ni siquiera me hizo un chequeo en menos de 8 minutos me dijo que tenía que,negativo
684,deberían dejar entrar al paciente con un acompañante aunque no sea menor de edad porque ahí mismo tienen muchas filas y al mismo enfermo le toca estar en todos lados esperando,negativo
686,demasiado tiempo de espera para tomar un turno deberían pensar en automatizar  e ir a  era tecnológica seria  éxito atención muy buena,negativo
688,pésimo servicio  8 meses para un turno de ginecologia para que me digan regrese en dos meses más por mi parte dejare  respectiva queja por escrito en direccion medica para que se tomen  debidos correctivos,negativo
689, peor servicio de que sirve un seguro sin nunca tienen agenda para una biopsia o endoscopia esperar 3 meses para un turno increíble para colmo de males  personal carece de educación empatía y amabilidad son lo peor,negativo
693,"4 horas esperando atención para que te digan que no tienen pruebas y te hagas con un privada para que pagamos seguro social
les recuerdo que pagamos por este servicio no es que nos hagan un favor",negativo
694,pesima atención ya estoy esperando más de una hora y mi novio tiene una laceracion grave en  dedo pulgarno aguanta  dolor y en  triaje nos mandan a esperar más de dos horas para k  medico le examine porque afirman que solo,negativo
697," servicio de salud es pésimo
no m parece que a un niño le hagan esperar 4 horas con dolor porque  no tiene fiebre",negativo
698,hoy lunes 8 de octubre fui hacerme atender al hospital del iess cotocollao x una leción en  columna  atención muy mala primero tuve que esperar 3 horas para  que me  tomen  signos vitales luego  otras 3 horas y solo para q me digan,negativo
699,es un pésimo lugar en  otros hospitales no hay tanto lío para agendar una simple cita,negativo
704, atención es buena se tiene que esperar un poco hay que tomar en cuenta que se atiende según  emergencia por lo demás en lo particular me han atendido muy bien,negativo
708,muy mala experiencia tuve cita con  doctor klever paz es una persona muy grosera no sabe tratar despota bueno de todos  doctores q me hecho atender este es  peor  que si uno les esta pidiendo limosna ellos tienen sueldo gracias a nuestros aportes no lo hacen gratis,negativo
709,no todos son tan amables  doctora de pediatria de planta alta no supo lo que es atender a un niño de 1 año 8 meses que no quiso dejarse tocar sus partes tan  que no podia rebisarlo por que no se deja y no le iso  chequeo que era normal aserle es una mediocre asi que por favor a hables con  señora gracias,negativo
718,"horrible
pésimo trato al visitante
no  ni preocupación real por  salud",negativo
724,pésimo servicio prendidas en  teléfono en horario laboral y en emergencia,negativo
729,llegue con un malestar bien grave y me han derivado a todos  especialistas y exámenes respectivos,negativo
737,hay que esperar mucho tiempo para que atiendan a una persona,negativo
741,es un pésimo servicio tres horas de espera para que vuelvan a repetir  medicación que ya se estaba tomando y no hacía efecto,negativo
744,pésimo servicio  de ciertos empleados y profesionales que no tienen criterio de servicio a,negativo
746, servicio es para asegurados es necesario esperar para ser atendido,negativo
770,pésimo actuar con  personas que necesitan información pésimo servicio,negativo
791,horrible cuidado no atiende rápido casi casi tienes que estar muerto para que te atiendan no dan exámenes no haces ni siquiera  exámenes pertinentes para dar un diagnóstico terrible sitio,negativo
798,acabo de ir a varios llegan  supuestos médicos y preguntan  síntomas riéndose cómo si se burlan me hacen esperar para luego decirme que no me van atender riéndose también pertenezco al sistema de salud y me parece de lo peor este servicio,negativo
801,pésima atención tiempo de espera más de 4 horas solo para una simple consulta hay varios pacientes que esperan con dolor muy pesima coordinación,negativo
803,para una simple consulta estuve  2 horas al personal no le interesa en nada  bienestar del paciente puesto que te tienen esperando inclusive afuera del edificio,negativo
805, verdad es que es un buen centro medico ademas de contar con servicio de rx y atencion toda  noche  verdad si desean una atención les  todo lugar publico tienen que esperar su turno,negativo
806,más de 10 personas esperando en emergencias y no hay nadie que atienda y si se pregunta responden no es asunto mio,negativo
807,"horas sin atención  guardia hace pasar a sus conocidos 
pésimo mejor dirigirse a otro centro",negativo
808,mala no hay médicos para atender  turnos posponen,negativo
812,"pesima atención tanto de  personas que te atienden en   personal médico
 atención es realmente mala",negativo
813,terrible atención al menos 4 personas se fueron porque pasaron 4 horas y no se les hacía  revisión no les importa  emergencia del paciente pésimo servicio,negativo
815,muy pero muy mal servicio por parte de  enfermera de emergencia una persona venezolana muy grosera  médicos son otra cosa muy delicados y minuciosos excelentes profesionales,negativo
816,algunos doctores de emergencia son muy déspotas con  pacientes y gritan y atienden de mala gana,negativo
837,mi hija dio a luz y su bebé tuvo que quedarse en cuidados intermedios de neonatología maltrato y descuido por parte de  mayoría de enfermeras a cargo es lo que se recibió en este lugar,negativo
839,buena experiencia en  trato de doctores área de traumatología columna mi mamá salió muy bien lo único de malo es que  materiales e insumos que si es un gran gasto en  debemos tener derecho para algo se está pagando  iess por otra parte buena atención médica,negativo
841,aquí  enfermeras son unas groseras mal educadas con  fuera de lugar enserio si no tienen vocación mejor dedíquense a otra cosa y ni hablar de esos guardias inhumanos que no dejan entrar a ver al familiar ni dan informes,negativo
847, día de hoy en horas de  tarde en emergencias del hospital andrade marín se presentan dos señoras y un caballero  se acercan a ventanilla sacan turno para emergencias toman asiento a esperar a  pocos minutos sale una señora,negativo
2,hoy 270623 necesitaba saber que paso con una derivación tramitada hace 2 meses que puestamente me llamaban  pero  persona encargada ni siquiera  en averiguar que había pasado con mi proceso pésima atención no ponen personas preparadas en información,neutro
6,es un centro hospitalario muy antiguo que necesita una remodelacion urgente  luminaria es deficiente  estructura es vieja y desgastada  médicos hacen lo posible por prestar una buena atención pero  infraestructura deja mucho que desear,neutro
7,arrepentimiento total llevé  ami hija con fiebre y ho sorpresa no tiene nadacreo que no se toman en serio a  pacientes a mi hija se le agravó y ahora está hospitalizada con neumonía se escudan con que no hay pediatras en,neutro
10,validación de certificados médicos de lunes a viernes de 0600 a 0900 se debe hacer  fila general para obtener  turno  atención es rápida  certificado debe cumplir con todos  requisitos indicados  sello del médico debe ser,neutro
16,negligencia total acudí a emergencias llevo un mes trabajando bajo dependencia y aún si no me atendieron en emergencias presento muchos síntomas que espero no sean abrasivos ni letales cuento con una mujer embarazada a mi lado mi,neutro
17, lugar es viejo huele a humedo no tiene luz en emergencia siempre esta lleno de gente  no hay citas en  iess van a sentarse 5 horas a ver si les atienden no hay parqueo afuera hay un negro con un palopara cuidar q le pagues,neutro
18, problema es que con  gobierno de lenin moreno y guillermo lasso no hay medicinas de lo demás sí hay atención aceptable,neutro
20,no hay atención por emergencias dicen que vaya al laboratorio y farmacia y todo está  pueden atender de esa manera que negligencia,neutro
21,uno acude a estos centro de atención del iess debido a que pagamos nuestros aportes mensualmente y por  emergencias medicas que se nos presentan para encontrarse con una pésima atención desde  ingreso con  guardias no pueden ni siquiera informar sobre nuevos procesos en  ingreso para llenar datos en un papelito,neutro
25,bastante gente en sus instalaciones falta personal de atención a  afiliados cuando estuve ahí de  6 cubículos solo atendían 2,neutro
26, trato de algunas enfermeras se quedó en  siglo anterior déspota y alarmista por  contrario muchos médicos ejercen su trabajo con mayor equilibrio humanismo y ponderación ofrecen cobertura muy amplia a  afiliados aunque está,neutro
27, atención es un poco lenta ya q antes de  cita se debe hacer una cola inmensa para poder pasar a ser atendido pero  atencion de  médicos si es super buena,neutro
31,dra daniela salvador pésima atención lo único que le importa es cobrar un sueldo 0 atención al paciente gritona altiva,neutro
32,no existe una   personal muchas veces son groceras,neutro
34,de  mejores centros de salud es importante saber que no cuentan con servicio de imagen por lo que si tienen una fractura o signos de apendicitis es mejor ir a un hospital para que les puedas evaluar con ecografía o radiografía,neutro
35,no hay rayos x favor si son fracturas dirigirse a otro centro de salud muchas gracias,neutro
39,como en toda institución pública hay q tener mucha paciencia con  gente q trabaja en ventanilla y preguntar si algo se desconoce porque ellos no explican nada,neutro
41,buenas me podrian ayudar hasta que hora resiben  certificados medicos para hacer validar gracias,neutro
42,todos  hospitales  un laberinto tenemos que ir con más tiempo y estaremos bien,neutro
45, guardias de seguridad se portan chocantes y casi me tiran mi celular y luego  chica de intendencia de metiche,neutro
46,este centro atiende consultas ambulatorias y emergencia,neutro
48, atención en emergencias es tardía no tienen un sistema adecuado de atención al paciente tampoco tienen odontología servicios,neutro
49,sin palabras ya saben cómo es  proceso con  iess,neutro
50,para una emergencia en mi condición de hipertenso no se demoraron mucho,neutro
51, citas se drben tomsr por teléfono sino no te atienden ni para orientar,neutro
54, atención al paciente es  todo  sistema de salud publico,neutro
56,hay que ir con anticipación a  cita porque previamente hay que hacer larga fila en información,neutro
57,por favor requiero un número fijo de contacto del dispensario del batán iess gracias,neutro
58,pertenece a  pésima red de salud pública coger una cita aquí es cercano a lo imposible,neutro
61,dentro médico del iess no posee lugares propios para estacionamiento de  usuarios,neutro
63, extensión de farmacia es 212970 marcar primero 3824880,neutro
65,hospital del iess buena atención pero podrían mejorar,neutro
66,en  servicio de rehabilitación se atiende de  tiene que ser,neutro
86,da pena este lugar ni para nombrarse hospital mi abuelita  llevaron de emergencia y no   debe de ser mi abuelita sigue enferma no le han recetado medicina ni le hacen exámenes de sangre para ver que tiene,neutro
90,pésima atención  señorita de admisión nisiquiera saludaaparte en  chequeos ginecologicos cuando una está embarazada debería dejar ingresar con  esposo  también forma parte del embarazo y fomenta  vínculo con  bebé,neutro
91,pésima atención  doctor que le atendió a mi mamá fisioterapeuta grosero déspota da  contra a  indicaciones del médico que  operó minimiza sus síntomas  si pudiera poner cero le pusiera,neutro
95,dispensario del iess traer siempre cédula para atención,neutro
102,no se abastecen muchos enfermos en emergencia no tienen asientos para  pacientes y peor para  acompañantes  como que les vamos a obstaculizar su trabajo,neutro
106,en serio no se que pensar a estás alturas no se si es ineptitud o desinterés por  o  paciente no se si sirva de algo  opiniones de aquí pero en serio que decepción que da  profesionales en especial de ginecología de emergencia que para colmo no sirven ni para atender,neutro
108, hospital es un  que cuenta con paso peatonal exclusivo y amplios parqueaderos,neutro
109, atención por lo que  un familiar es que es muy buena pero le pongo 4 estrellas porque se demoran un siglo solo por coser una herida muy  de 5 puntos estuvimos desde  3 de  tarde hasta  10 casi de  noche ya,neutro
110,"toda una barbarie su atención   profesionalismo dejan mucho que desear  es  institución que cobra para brindar un servicio privado  que más bien queda por muy debajo que de un servicio público
todos  servicio es ineficiente",neutro
111, servicio es fatal se demoran más de 5 horas para atender a un paciente lo peor de todo es  personal no tiene  paciencia para indicarte donde quedan  áreas correspondientes  doctores pasan y pasan a lado de uno y ni siquiera se,neutro
112,me pueden informar sobre  doctora liliana rodríguez de cardiología pediatrica que tal es  trató con  niños y pacientes porfavor es primera vez que voy a ese hospital,neutro
114,emergencia primero ir a triaje luego admisiones y de ahí al médico si van con pedido de isopado covid de un dr de centro médico de convenio con  iess no sirve de nada deben hacer todo  proceso de emergencia para que  doctor,neutro
115,mi esposa tiene cáncer está con dolor de cabeza fuerte presión 172 y glucosa 144 estamos en emergencia ya 1 hora y no hay quien atienda sin  7 y 2p,neutro
117,mi madre tenía una cirugía programada para  lunes 22 de mayo en  iess central pero se dañó lamaquina y le derivaron a este hospital pero aquí le dicen que no hay cirugías es decir que mi madre boto 35 años de su vida aportando al,neutro
118,muy buena atención en esta época de pandemia han ayudado a mucha gente creo en  profesionalismo del personal médico y enfermería del hospital al momento si hay medicinas y aunque no hay consulta externa en emergencia buena atención,neutro
120,buena atención  estacionamiento esta muy lejos de  entrada principal con una persona en silla de ruedas si llueve te empapas es mejor en este caso ir en taxi,neutro
121,es uno de  hospitales más modernos de quito con equipamiento  con otros hospitales del país tuve  oportunidad de conocerlo hace poco estuve en  área de pediatria en hospitalizacion y  paredes están decoradas,neutro
125,a  ciudadanía  teléfono que sirve para llamar al hospital iess quito sur es   02 3983200,neutro
126,instalaciones modernas no hay atención personalizada trámites engorrosos sin control de calidad del servicio médico y tratantes,neutro
127, infraestructura bien es indignate  ver que  mayoría de  profecionales de  salud no tienen vocación cálidad humana empezando con  emergenciologos groseros  no tienen un lugar para realizar un procedimiento tengan que,neutro
136,pésima atención de algunas  enfermeras deberían controlar más  atención a  pacientes cuando se encuentran internados,neutro
137,"si pasa algo con  turnos tengan  decencia de escribir por mensaje o por correo electrónico
no es un servicio gratiuito  personas pagan todos  meses",neutro
140,en este momento en  piso se encuentran con aire acondicionado prendido cuando  temperatura es tan baja que se están congelando  no apagan  aires se ha pedido a enfermería  que informe a mantenimiento que  apaguen porque es,neutro
144, gente del turno de  noche muy buen trabajo  gente del turno diurno una basura tres diagnósticos distintos en 8 horas ninguno se toma  molestia de leer  historia clínica no les preocupa dejarles a  pacientes  y,neutro
145,pésima atención por parte de una señorita que está en  área de terapias hoy me acerque a entregar documentación para terapia del lenguaje y lo que me respondió que ahí no me ayudan con  turno que me vaya al iess de chimbacalle cuando,neutro
146,hace 6 meses mi hija  se corto  deditos con unas latas por lo que tuvieron que suturarla varios puntos pero por seguridad también tenían que ponerle una inyección contra  tétanos muy lamentable  atención de  enfermeras que,neutro
150,a mi me han atendido bien tanto  personal  en farmacia al gobierno hay que exigir que pague  deuda y que se revise  atención a familiares y seguro campesino,neutro
151,lastimosamente tengo  que a pesar de poseer todos  equipos requeridos a mi esposo no pudieron detectarle una apendicitis y le dieron  alta medica mandandole a tomar solo suero oral a penas salio del hospital  dolor,neutro
152,en emergencias mamá duro 3 días sabían q mi madre tenía cáncer desde que llegó y en  vez de derivar  a un hospital con oncólogo me dieron entrada aquí si un oncólogo lee esto y es del seguro sepan que diagnosticar cáncer con lugar y biopsia,neutro
155,no tienen insumos médicos no hay camillas ni ambulancias le sacaron en brazos a mi abuelita de emergencias por años pago  seguro para que ahora brinden una atención mediocre,neutro
156, hospital estatal más grande del país con infraestructura y profesionales de primer nivel atiende a todos  afiliados del sistema público de seguro social,neutro
164,si te atienden pero lo que hay en existencia te dan y lo que no tienen  de tu bolsillo que más toca gobernados por un bachiller,neutro
165,dice ser de  mejores hospitales por su infraestructura y atienden  emergencias en una carpa en  parqueadero que clase de atención es esa y en lluvias hasta  luz se va,neutro
167,nose para que publican un pto numero de telefono si  van a tener apagados,neutro
168,a nombre de mi hijo mateo santamaría quién fue operado de apendicitis en éste hospital debo agradecer por  profesionalismo y  buen trato de que fue objeto en  días que permaneció en ese lugar,neutro
170,buen trato al paciente  y a  familiares mi hermana estuvo bien atendida   creo que debería mejorar  flujo de información sobre  condiciones de  pacientes,neutro
173,gracias  al trabajo tesonero de rafel correa  ecuador tiene lindos hospitales escuelas del miliños centros médicos  pero ahora con lasso no hay medicinas,neutro
178,una hora disque cambio de turno y no asoma nadie éramos cuatro para atendernos y ya somos casi 30 ni un responsable ni una palabra,neutro
179,buena atención cuando se está agendado para agendar si es un problema porque todo está copado por  demanda que hay de atención,neutro
181,moderno hospital  en  sur de quito que ayuda a descongestionar  atención clinica de  afiliados del iess lo negativo es que falta personal de enfermeria y medicos especialistas pero  infraestructura es de primera,neutro
188,es un verdadero hospital de varias especialidades médicas y atienden muy bien,neutro
191,ten8a cita sacada hace 45 días y c7ando llegue me informaron que reagendaron  citas y  mía fue hace 20 días nunca fui informado  instalaciones son de primera,neutro
192, servicio y trato al pacientejuegan con  dinero y sobre todo  vidavida  puede ser posible que una paciente entre por emergencia grave y no den una razón  se encuentra ya 5 horas,neutro
194, verdad es que siempre  de parte de  y  señores de enfermería y auxiliares aunque hay suficiente personal,neutro
196,pesima atención x  medicos de oftalmologia uno se va x emergencia y te atienden cuando a ellos les da  gana,neutro
197,muy buena atención en  ámbito clínico pos operatorio y covid tanto de enfermeras y doctores,neutro
199,hospital muy acogedor con una buena infraestructura,neutro
200,no hay donde parquear  autos por  momento no activan  uso de  parqueaderos ni para emergencias,neutro
201,no tuve problema ya tengo  cita médica para  miércoles 27,neutro
204,estoy   aquí desde   11 de  noche  son  1 y 10 del madrugada  y no me atiende  nadie  no se para que pago  si no te atiende  nadie,neutro
205,es uno de  mejores hospitales públicos de  capital sin embargo seria ideal que se agregan nuevas especialidades,neutro
207,bastante moderno pero hay algunos servicios que no se  endoscopias,neutro
208,por favor pongan  nombre de  calles y avenidas es tan dificil poner esa información,neutro
210,cuál es  motivo de no atender una emergencia oportunamente,neutro
212,gracias por  oportuna atención a mi padre durante  emergencia sanitaria por covid19,neutro
216,por favor ayúdenos con un  de teléfono por cuanto  que tenemos no contestan  023982700 iess esmeraldas   con,neutro
217,fatal  3 drs para emergencia  más de 2 horas con un dedo roto y ni una pastilla para  dolor,neutro
218,desagradable ese hospital solo ven  beneficios y no les importa  vida,neutro
223,atención rápida  vigilantes son  únicos groseros,neutro
224,ponen un numero telefónico 023982700 y ni contestan deberían de tener algún numero donde uno pueda pedir información,neutro
225,contestén  teléfono  para q tienen no pueden dar resultados rapidos,neutro
227,es una belleza  lugar y  atención un poquito de paciencia y listo,neutro
232,esperemos que siga así con una buena atención al publicó siempre,neutro
253,a pesar de que  mismos problemas ocurren una y otra vez nunca parece haber mejoras cada vez que  laboratorio deja de funcionar es una auténtica pesadilla  quioscos de facturación están amontonados hoy uno está fuera de servicio,neutro
255,me parece que  número convencional para información de este hospital  san francisco es lamentablemente ridículo ya que no contestan solo funciona  grabación y  momento que se va a poner  número de extensión vuelve otra vez ,neutro
257,pésima nefasta atención nos hicieron regresar a  casa en tres ocasiones indicando que mi esposa aún no dilataba mi nena nació en  casa por negligencia de toda esta gente que no sabe hacer su trabajo y eso que no explico con detalles,neutro
262,pesima atención  desde  triaje pediátrico  enfermera de turno en  noche  muy antipática e impertinente  casi no le atienden a mi hijo con una fiebre alta segun ella era una  nada más mi hijo empeoró aparte  con una,neutro
263,que tristeza que personas que hicieron juramentos de velar y cuidar a  enfermos sean una  ser humano deberian hacer otra cosa es especial estos dres cesar castillo suquilanda y  dr proaño duran juan carlos estar en emergencia es lo peor que nos puede pasar  gente se muere en emergencia y no les importa,neutro
264,hoy fui atendida en  hospital san francisco exámenes de laboratorios  gracias muy buena atención  pese a que es  inmensamente grande  cantidad de pacientes  incluso  muchos jovenes y niños que no pagan nada y va en desmedro de esta,neutro
267,un hospital que no sirve para nada solo dejan a  pasientes tirados en una esquina con un suero por 6 horas y  guardias muy antipáticos ven que  personas se desmayan y solo voltean  mirada,neutro
268," peor experiencia de mi vida en una sala de urgencias mi novia tenía apendicitis y se demoraron 18 horas en darnos  diagnóstico
después de muchos exámenes a lo que nos dicen que no nos pueden atender ahí",neutro
