wiI7pd,comentarios_traducidos,clasificacion
es un hospital con infraestructura impresionante que dejó establecida rafael correa la amabilidad de los doctores enfermeras y de servicios es excelente una lástima que el personal de aseo y limpieza estén impagos 3 mesesojalá alguien lo solucione,"It is a hospital with impressive infrastructure that Rafael Correa established. The kindness of the doctors, nurses and services is excellent. It is a shame that the cleaning and cleaning staff have been unpaid for 3 months. I hope someone will solve it.",positivo
gran espacio de sala de espera,large waiting room space,positivo
el hospital en si tiene deficiencias pero si cuenta con médicos excelentes agendar cita es terrible porque los turnos te dan cuando y no tienes dolencia pero vale la pena los profesionales que tiene,"The hospital itself has deficiencies but it does have excellent doctors, scheduling an appointment is terrible because the appointments are given when you are not sick, but the professionals it has are worth it.",positivo
"el servicio de emergencia es malo los doctores piensan que uno les quiere engañar o estafar el trato malo y despectivo
sin embargo al ingresar al hospital la atención es excelente mejor que","the emergency service is bad the doctors think that someone wants to deceive or scam them the bad and derogatory treatment
However, upon entering the hospital, the care is excellent, better than",positivo
hoy visité el hospital iess excelente atención con profesionales de gran nivel muy satisfecho con el servicio afíliate y contribuye al crecimiento de la seguridad social en el ecuador,"Today I visited the IESS hospital, excellent care with high-level professionals, very satisfied with the service, join and contribute to the growth of social security in Ecuador",positivo
esperando mas de 1 mes para 1 cita medica con el especialista que vergüenza con el dinero que se aporta podría haber pagado a parte buen especialista,"It claims to be one of the best hospitals due to its infrastructure and they attend to emergencies in a tent in the parking lot, what kind of care is that and in the rain even the power goes out?",positivo
si te atienden pero lo que hay en existencia te dan y lo que no tienen  de tu bolsillo que más toca gobernados por un bachiller,"I went with a severe migraine and vomiting, they kept me waiting for more than an hour in the waiting room, I guess they expected my symptoms to get worse so they could treat me later, I had to go out and have myself treated at a private center, they are the worst thing there is.",negativo
dice ser de los mejores hospitales por su infraestructura y atienden las emergencias en una carpa en el parqueadero que clase de atención es esa y en lluvias hasta la luz se va,I don't know why they publish a specific phone number if they are going to have them turned off.,neutro
fui con una fuerte migraña y vómito me tuvieron esperando más de una hora en sala de espera supongo que esperaban que mis síntomas se agravaran para atenderme posterior tuve que salir y hacerme atender en un centro particular son lo peorsito que hay,Good treatment of the patient and family members. My sister was well cared for. I think the flow of information about the patients' conditions should be improved.,positivo
nose para que publican un pto numero de telefono si los van a tener apagados,"terrible service
In the emergency it took 5 hours to attend to us everyone passes the blame deleted information doctors in a hurry negligence nobody knows",negativo
a nombre de mi hijo mateo santamaría quién fue operado de apendicitis en éste hospital debo agradecer por el profesionalismo y el buen trato de que fue objeto en los días que permaneció en ese lugar,I didn't like my 5-month-old baby. I took her on Friday because she has a high fever and yesterday Saturday I also took her because she was still feverish and unwell and they told me that it's normal and they only sent her paracetamol and she's still sick.,negativo
"pésimo servicio
en emergencia se demoraron 5 horas en atendernos todos se pasan la culpa informaciones borradas doctores al apuro  negligencia nadie sabe","Firstly, good dt, in the area of ​​traumatology, a doctor, I won't say his name, was going to operate on me and he didn't know the risk. Then I found out that if he operated on me, he would leave me without mobility and another, better one, sent me therapy, not even that, they are bossy.",positivo
buen trato al paciente  y a los familiares mi hermana estuvo bien atendida   creo que debería mejorar el flujo de información sobre las condiciones de los pacientes,"Thanks to the hard work of Rafel Correa, Ecuador has beautiful hospitals, schools in Miliños, medical centers, but now with Lasso there are no medicines.",positivo
no me gusto ami bebe de 5 meses la lleve el viernes porque esta con mucha fiebre  y ayer sabado también la lleve porque seguia con fiebre  y con malestar  y me dicen que es algo normal y solo le mandaron paracetamol nada mas y sige mal,"If they serve you, they give you what they have in stock and what they don't have comes out of your pocket, which is more important, governed by a bachelor.",positivo
primeramente buens dt n en el area de traumatologuia un medico no dire el nombre me iva a operar y no conocio el riesgo luego me entero q si me operaba me dejaba sin movilidad y otro mas bueno me mando terapia ni eso me mandon son,"Waiting more than 1 month for 1 medical appointment with the specialist, what a shame with the money contributed, a good specialist could have been paid separately.",positivo
gracias  al trabajo tesonero de rafel correa el ecuador tiene lindos hospitales escuelas del miliños centros médicos  pero ahora con lasso no hay medicinas,"Today, 01072019, I visited this hospital for the first time. The infrastructure is impressive, very modern. Unfortunately, in referrals, the staff has a good presence but treats members poorly. On the other hand, they sent me to another hospital.",positivo
la mayor parte de enfermeras enfermeros licenciados en enfermería médicos no tienen ética profesional dan un pésimo servicio médico no les importa la vida de los pacientes hay muy pocos médicos y personal que hacen bien su función en el hospital es muy triste la situación que se vive en ese hospital,"My problem is that they ask about their family member all the time because they don't tell you anything better if you can, don't even leave the waiting room and the other thing is that the guards there are inconsiderate at night at all hours but there's no way you can put up with it because why? it's public",positivo
hoy 01072019 visité por primera vez este hospital  la infraestructura es impactante muy moderno lastimósamente en derivaciones un personal de presencia buena pero que trata mal a los afiliados por otra parte me enviaron a otra,"At this moment the pointer is incorrectly placed because it is located on Moraspungo and Pinllopata streets next to the Machángara River Linear Park built in an area of ​​21,860 m2.",neutro
mi  es que pregunten a cada rato por su familiar porque no te dicen nada mejor si puedes ni salgas de sala de espera y otra  la vr los guardias de ahí desconsiderados en la horas de la noche en todas horas pero ya ni modo toca aguantar por que es público,"Most of the nurses, nurses with degrees in nursing, doctors do not have professional ethics, they provide a terrible medical service, they do not care about the lives of the patients, there are very few doctors and staff who do their job well in the hospital, the situation in the hospital is very sad. that hospital",negativo
en este momento el apuntador está mal colocado pues está ubicado en las calles moraspungo y pinllopata junto al parque lineal del río machángara construido en un  área de 21860 m2,"On behalf of my son Mateo Santamaría, who underwent appendicitis surgery in this hospital, I must thank him for the professionalism and good treatment he received during the days he stayed in that place.",positivo
una hora disque cambio de turno y no asoma nadie éramos cuatro para atendernos y ya somos casi 30 ni un responsable ni una palabra,good attention when it is scheduled to schedule if it is a problem because everything is overwhelmed by the demand for attention,positivo
buena atención cuando se está agendado para agendar si es un problema porque todo está copado por la demanda que hay de atención,"Terrible attention, my father-in-law was admitted on Tuesday due to covid and to this day we don't know anything, no one gives information and my father-in-law doesn't have a telephone, we are all very worried, can someone tell me a number to find out how to make a claim or find out something about my father-in-law, thank you for this terrible service. must be reported",negativo
yo he asistido con estudiantes del colegio donde trabajo son hijos de afiliadosentran inmediatamente y toman signos vitales se espera un tiempo prudencial para que les atiendan y les hagan los procedimientosen mi opinion laatencion es muy buena,Terrible 7 hours to be treated by only 1 doctor,negativo
moderno hospital  en el sur de quito que ayuda a descongestionar la atención clinica de los afiliados del iess lo negativo es que falta personal de enfermeria y medicos especialistas pero la infraestructura es de primera,efficient,neutro
pésima atención mi suegro ingreso el martes por covid y hasta el día de hoy no sabems nada nadie da información y mi suegro no tiene teléfono todos estamos muy preocupados alguien me puede decir algún número para averiguar reclamar o saber algo de mi suegro gracias este pésimo servicio debe ser denunciado,excellent service all the staff give good attention mainly the doctors,positivo
pésimo 7 horas para ser atendidos 1 solo medico,It is a true hospital with several medical specialties and they provide very good care.,positivo
excelente servicio todo el personal da una buena atención principalmente los médicos,"The number that is on the Google page is never answered, it is called and it closes automatically
the wait is too long even for the emergency",negativo
como puede ser posible que estando con la mano fracturada le envíen a casa y no hagan el tramite para transferencia de inmediato muy mala atención,"The number that is on the Google page is never answered, it is called and it closes automatically
the wait is too long even for the emergency",negativo
"el número que está en la página de google jamás contestan se llama y se cierra automáticamente
la espera es demasiada hasta para la emergencia","An hour after a supposed shift change, no one showed up. There were four of us to serve each other and now we are almost 30. Not one person in charge, not one word.",negativo
eficiente,excellent hospital good service trained staff,positivo
es un verdadero hospital de varias especialidades médicas y atienden muy bien,"Modern hospital in the south of Quito that helps to relieve the clinical care of IESS members. The negative is that there is a lack of nursing staff and specialist doctors, but the infrastructure is first class.",positivo
excelente atención bendiciones,"excellent service, blessings",positivo
excelente hospital buen servicio personal capacitado,I had an appointment made 45 days ago and when I arrived they informed me that they rescheduled the appointments and mine was 20 days ago I was never informed the facilities are top notch,positivo
ten8a cita sacada hace 45 días y c7ando llegue me informaron que reagendaron las citas y la mía fue hace 20 días nunca fui informado las instalaciones son de primera,"the service and treatment of the patient they play with money and above all lifelife it may be possible that a patient comes in due to a serious emergency and they do not give a reason, she is already there for 5 hours",negativo
el servicio y trato al pacientejuegan con el dinero y sobre todo la vidavida  puede ser posible que una paciente entre por emergencia grave y no den una razón  se encuentra ya 5 horas,"excellent service, they are considerate of the user, first-class infrastructure, it is the first appointment, zero user complaints",positivo
excelente atención   tienen consideración con el usuario  infraestructura de primera es la primera cita   cero quejas del usuario,"The truth is that it is always on behalf of the nursing staff and assistants, although there is enough staff.",neutro
la verdad es que siempre  de parte de las y los señores de enfermería y auxiliares aunque hay suficiente personal,"excellent pediatric emergency care, very friendly and efficient, the doctors in general, the staff",positivo
atención pediátrica en emergencia excelente muy amables y eficientes los doctores en general el personal,"Terrible attention from the ophthalmology doctors, you go to the emergency room and they treat you whenever they feel like it.",negativo
pesima atención x los medicos de oftalmologia uno se va x emergencia y te atienden cuando a ellos les da la gana,very good care in the post-operative and covid clinical setting from both nurses and doctors,positivo
muy buena atención en el ámbito clínico pos operatorio y covid tanto de enfermeras y doctores,"I have assisted students from the school where I work. They are children of members. They come in immediately and vital signs are taken. They wait a reasonable amount of time for them to be seen and for the procedures to be performed. In my opinion, the care is very good.",positivo
la atención es excelente lo único malo que no hay la mayoría de medicamentos,"The care is excellent, the only bad thing is that most medications are not available.",positivo
hospital muy acogedor con una buena infraestructura,very welcoming hospital with good infrastructure,positivo
no hay donde parquear los autos por el momento no activan el uso de los parqueaderos ni para emergencias,I had no problem. I already have a medical appointment for Wednesday the 27th.,neutro
no tuve problema ya tengo la cita médica para el miércoles 27,"a huge hospital, excellent infrastructure but still needs to improve public service",positivo
un enorme hospital excelente infraestructura pero aún tiene que mejorar la atención al público,"It is one of the best public hospitals in the capital, however it would be ideal to add new specialties",positivo
amplias instalaciones aseado la atención del personal es buena son amables cuenta con múltiples estacionamientos,"spacious facilities, clean, staff attention is good, they are friendly, it has multiple parking spaces",positivo
estoy   aquí desde  las 11 de la noche  son la 1 y 10 del madrugada  y no me atiende  nadie  no se para que pago  si no te atiende  nadie,quite modern but there are some services that do not include endoscopies,positivo
es uno de los mejores hospitales públicos de la capital sin embargo seria ideal que se agregan nuevas especialidades,"Please put the names of the streets and avenues, it is so difficult to put that information",negativo
uno de los hospitales más modernos de la seguridad social excelente personal e infraestructura,"clean, tidy, quick attention, a hospital luxury",positivo
bastante moderno pero hay algunos servicios que no se  endoscopias,What is the reason for not attending to an emergency in a timely manner?,neutro
por favor pongan el nombre de las calles y avenidas es tan dificil poner esa información,"I've been here since 11 at night, it's 1:10 in the morning and no one is helping me. I don't know why I pay if no one is helping you.",neutro
limpioordenado rápida atención un lujo de hospital,Thank you for the timely attention to my father during the health emergency due to covid19,negativo
cuál es el motivo de no atender una emergencia oportunamente,There is no place to park the cars. At the moment they do not activate the use of the parking lots even for emergencies.,neutro
gran infraestructura excelentes instrumentos falta aún mejorar la atención por ser nuevo,poor care and service makltreatment of patients and relatives poor management of patient information,negativo
gracias por la oportuna atención a mi padre durante la emergencia sanitaria por covid19,an impressive improvement so much attention,positivo
mala atencion y servicio makltrato a pacientes y parientes mal manejo de informacion de los pacientes,"good, timely and professional attention",positivo
una mejora impresionante tanto  atención,"One of the most modern social security hospitals, excellent staff and infrastructure",positivo
buena atención oportuna y profesional,Please help us with a telephone number because the one we have does not answer 023982700 iess esmeraldas with,neutro
por favor ayúdenos con un  de teléfono por cuanto el que tenemos no contestan  023982700 iess esmeraldas   con,fatal 3 drs for emergency more than 2 hours with a broken finger and not even a pain pill,positivo
fatal  3 drs para emergencia  mas de 2 horas con un dedo roto y ni una pastilla para el dolor,"Great infrastructure, excellent instruments, it still needs to improve the care because it is new",positivo
desagradable ese hospital solo ven los beneficios y no les importa la vida,I wish the attention would be so on the building,neutro
ojalá la atención fuese tan  el edificio,hour and a half waiting in triage and no one answers,negativo
profesionales muy capacitados y atención excelente,"That hospital is unpleasant, they only see the benefits and don't care about life.",negativo
hora y media esperando en triage y nadie atiende,highly trained professionals and excellent service,positivo
excelente atención equipos modernos el papeleo hay que mejorarlo,"excellent service, modern equipment, paperwork needs to be improved",positivo
atención rápida los vigilantes son los únicos groseros,quick attention the guards are the only ones rude,positivo
ponen un numero telefónico 023982700 y ni contestan deberían de tener algún numero donde uno pueda pedir información,They give a telephone number 023982700 and they don't even answer. They should have some number where one can request information.,neutro
contestén el teléfono  para q tienen no pueden dar resultados rapidos,answer the phone because they can't give quick results,positivo
la atención es muy lenta,attention is very slow,negativo
es una belleza el lugar y la atención un poquito de paciencia y listo,"The place and the attention are beautiful, a little patience and that's it.",positivo
nos atendieron muy bien,I like and attention from the staff,neutro
atienden rápido fui por emergencia,the sysa hqsur clown unit is the best,positivo
me gusta  y atención del personal,Let's hope it continues like this with good attention to the published always,positivo
la unidad de clowns sysa hqsur es lo máximo,clean and the parking lot is large,positivo
esperemos que siga así con una buena atención al publicó siempre,excellent very good service,positivo
muy moderno y excelente atención,They treated us very well,positivo
limpio y el parqueadero es grande,everything from iess,neutro
excelente muy buena atención,the attention was acceptable,neutro
todo lo del iess,good service and good facilities,positivo
la atención fue aceptable,good,positivo
buena atención y buenas instalaciones,I like the staff and their attention,neutro
buena,terrible service,negativo
pésimo servicio,it's very good,positivo
es muy buena,acceptable,neutro
aceptable,Very modern and excellent service,positivo
excelente atención,excellent attention,positivo
atención buena,good attention,positivo
excelente hospital,quick emergency response,positivo
atención rápida en emergencias,IESS for the south of Quito,neutro
iess para el sur de quito,Excellent place,positivo
excelente lugar,it's disgusting,negativo
es un asco,congratulations,neutro
felicitaciones,modern hospital,positivo
la atención,modern hospital,positivo
moderno hospital,even though the same problems happen over and over again there never seems to be any improvement every time the lab goes down it's a real nightmare the check in kiosks are piled up today one is out of service,positivo
a pesar de que los mismos problemas ocurren una y otra vez nunca parece haber mejoras cada vez que el laboratorio deja de funcionar es una auténtica pesadilla los quioscos de facturación están amontonados hoy uno está fuera de servicio,excellent facilities,positivo
excelentes instalaciones,excellent hospital,positivo
me parece que el número convencional para información de este hospital  san francisco es lamentablemente ridículo ya que no contestan solo funciona la grabación y el momento que se va a poner el número de extensión vuelve otra vez la,"It seems to me that the conventional number for information about this San Francisco hospital is unfortunately ridiculous since they don't answer, only the recording works and the moment the extension number is going to be put, the phone returns again.",negativo
la peor atención a las personas más de 32horas en emergencia y no son capaces de entregar un resultado para ver si es operación o no la gente se puede morir en su sala de espera y les vale un huevo ni un suero para aguantar y quieren que,"the worst care for people for more than 32 hours in an emergency and they are not able to deliver a result to see if it is an operation or not, people can die in their waiting room and they don't need a single egg or a serum to survive and they want them to",negativo
pésima nefasta atención nos hicieron regresar a la casa en tres ocasiones indicando que mi esposa aún no dilataba mi nena nació en la casa por negligencia de toda esta gente que no sabe hacer su trabajo y eso que no explico con detalles,"Terrible, disastrous attention, they made us return to the house on three occasions, indicating that my wife had not yet dilated, my baby was born in the house due to the negligence of all these people who do not know how to do their job and that I do not explain in detail.",negativo
seguramente uno de los peores hospitales de el país el área de emergencia empezando por afuera familiares esperando en el frío con sillas rotas guardia déspota y enfermeras y médicos practicantes pagar aportes por un suero es una estafa,"surely one of the worst hospitals in the country, the emergency area, starting from the outside, relatives waiting in the cold with broken chairs, despotic guard and practicing nurses and doctors paying contributions for a serum is a scam",negativo
pésima atención en emergencia pediátrica toman los datos pero no hay enfermer en el área de triaje para la preparación del paciente nos toca esperar más de media hora para el triaje cuando no hay pacientes en espera se le aborda al,"Terrible attention, I have been waiting for more than three hours for them to attend to us and nothing they attend to is saturating low and not in giving oxygen what a shame to deduct our insurance there if they are good",positivo
muy buena atención en el área de hospitalización de pediatría tanto  enfermeras fueron muy amables cálidos y empáticos la atención incluyó exámenes medicamentos y alimentación para el niño y su acompañante incluso citas,"very good care in the pediatric hospitalization area, both nurses were very kind, warm and empathetic, the care included exams, medications and food for the child and his companion, even appointments",positivo
pésima atención llevo más de tres horas esperando q nos atiendan y nada q atienden encima esta saturando bajo y no  en dar oxígeno q pena para descontar nos del seguro ahí si son buenos,"How sad that people who took oaths to watch over and care for the sick are human beings, they should do something else, these Drs Caesar Castillo Suquilanda and Dr Proaño Duran Juan Carlos, being in an emergency is the worst thing that can happen to us, people die. in emergency and they don't care",negativo
pesima atención  desde el triaje pediátrico la enfermera de turno en la noche  muy antipática e impertinente  casi no le atienden a mi hijo con una fiebre alta segun ella era una  nada más mi hijo empeoró aparte  con una,"Today I was treated at the San Francisco hospital, laboratory tests, thank you very good care despite the fact that the number of patients is immensely large, including many young people and children who do not pay anything and it is to the detriment of this",positivo
que tristeza que personas que hicieron juramentos de velar y cuidar a los enfermos sean una  ser humano deberian hacer otra cosa es especial estos dres cesar castillo suquilanda y el dr proaño duran juan carlos estar en emergencia es lo peor que nos puede pasar la gente se muere en emergencia y no les importa,"a hospital that is useless, they only leave the patients lying in a corner with an IV for 6 hours and the very unfriendly guards see that people faint and just look away",negativo
hoy fui atendida en el hospital san francisco exámenes de laboratorios  gracias muy buena atención  pese a que es  inmensamente grande la cantidad de pacientes  incluso  muchos jovenes y niños que no pagan nada y va en desmedro de esta,"Terrible attention in pediatric emergency. They take the data but there is no nurse in the triage area to prepare the patient. We have to wait more than half an hour for triage. When there are no patients waiting, the patient is approached.",negativo
noce si no hay control aqui en elhospital san francisco de asis que desde ayer le tengo a mi suegra con la pierna rota y no hacen nada por ingresarle adentro durmio en la area de espera en una silla y asta hora ya son las 10 de la mañana,"The care in this hospital is terrible, I would rate them with zero but it can't be done. My mother was admitted yesterday for emergencies, she lacked oxygen. We were admitted at 2 in the afternoon and until 6pm they never attended to her. We complained to the",negativo
pésimo servicio en el área de emergencia el personal administrativo  y guardias groseros  le negaron la atención a un paciente que estaban super mal  que no podía ni caminar del dolor por el hecho de que pese a que está  voluntaria le faltaban 4 días y no tenía fiebre espero no tener que regresar nunca,"Terrible care from the pediatric triage, the nurse on duty at night was very unfriendly and impertinent, they barely attended to my son with a high fever, according to her it was nothing more, my son got worse apart from a",negativo
un hospital que no sirve para nada solo dejan a los pasientes tirados en una esquina con un suero por 6 horas y los guardias muy antipáticos ven que las personas se desmayan y solo voltean la mirada,"horrible attention, we will be forced to work without pay and it is even scary to ask someone something",negativo
"la peor experiencia de mi vida en una sala de urgencias mi novia tenía apendicitis y se demoraron 18 horas en darnos el diagnóstico
después de muchos exámenes a lo que nos dicen que no nos pueden atender ahí","a hospital where 100 is contributed monthly and sometimes even more, they have terrible attention from the pseudo-professional guards, terrible diagnoses 0 in a sense of urgency you have to arrive more dead than alive to",negativo
pésima atención por la persona que entrega el turno para ser ingresado la pésima limpieza se ven en los pasillos las capas que ponen sucias incluso de sangre no se tiene personal de enfermería un paciente tiene que atenderse solo que,"Terrible attention, I took my wife for an emergency since she was very bad in terms of health, it took 1 hour to take vital signs and there were no people, the lady's response was that no, she still did not reflect my name",negativo
la atención en este hospital es pesima les calificara con cero pero no se puede mi mamá el día de ayer ingreso por emergencias le faltaba el oxigeno ingresamos a las 2 de la tarde y hasta las 6pm nunca la atendieron se les reclama al,"a place where they have no sense of urgency or humanity from the guards, terrible treatment in triage, the nurses have no idea what they are doing, they do not know how to take vital signs, they do not have the necessary equipment to care for",negativo
un lugar donde no tienen sentido de urgencia ni humanidad desde los guardias un pésimo trato en triage las enfermeras no tienen ni idea de lo que hacen no saben tomar signos vitales no tienen los implementos necesarios para atender a,"I know if there is no control here at the San Francisco de Asis hospital, since yesterday I have had my mother-in-law with a broken leg and they do nothing to admit her inside. She slept in the waiting area in a chair and now it is 10 in the morning.",negativo
horrible atención nos  se les obligará a trabajar y sin sueldo y da hasta miedo preguntar algo a alguien,"Terrible service in the emergency area, the administrative staff and rude guards denied care to a patient who was in a very bad condition who could not even walk due to pain due to the fact that even though she is a volunteer, she was missing 4 days and did not have a fever, I hope never have to return",negativo
un hospital donde se aporta mensualmente  100 y a veces hasta más tienen una pésima atención desde los guardia pseudoprofesionales  pésimos diagnósticos 0 en sentido de urgencia tienes que llegar más muerto que vivo para,"There are more guards than medical staff, it seems like we are entering a prison, they do not have supplies, medicines, rooms, the security staff does not have the slightest empathy, they think they are the owners, very bad service.",negativo
pésima atención lleve a mi esposa por emergencia ya que estaba muy mal en cuanto a salud se demoraron 1 hora para la toma de signos vitales y sin haber personas la respuesta de la señorita es que no todavía no le reflejaba el nombre de mi,terrible attention from the person who gives the shift to be admitted the terrible cleanliness you can see in the hallways the cloaks that are dirty even with blood there is no nursing staff a patient has to be cared for alone,negativo
hay más guardias que personal médico parece que entramos a una prisión no disponen de insumos medicinas habitaciones el personal de seguridad no tiene la más mínima empatía se creen dueños  muy mal servicio,If I could I would give it a 100 rating. We ask for professionals. Terrible attention. Terrible diagnoses. They have no idea what they are doing. They diagnosed cancer with an injection for 300 and because of the terrible service I went to a,negativo
buenas noches llevo más de cuatro horas esperando la atención por emergencia el dr del consultorio 1 que aparentemente me tiene que atender se lo pregunté a las 1800pm y me informo que habían tres pacientes antes de mi ya son 2056 pm y sigo esperando para colmo se le vuelve a preguntar y contesta grosero,"the worst experience of my life in an emergency room, my girlfriend had appendicitis and it took 18 hours to give us the diagnosis
After many exams they tell us that they cannot care for us there.",negativo
"la atención es paupérrima
desde triaje hasta los doctores de emergencia
se ponen bravos por decirles que atiendan más rápido se las pasan en las redes","lack of attention
It may be that one with an emergency waits 5 or 6 hours to be attended to. The hospital is disorganized. Terrible.",negativo
entramos por emergencia por una subida de presión altísima de mi madre 218103 y nos tuvieron a la espera por 1 hora y media y para colmo no fué atendida  por lo que me tocó llevarle a otro lugar pésimo servicio pésimo personal no están en sus puestos de trabajo,"They go from bad to worse, emergency care is terrible, there are no doctors available and in many cases there is only one for so many people, and they cancel medical appointments overnight even when they have already been scheduled for months.",negativo
si pudiera le doy 100 de calificación pedimos profesionales pésima antencion pésimos diagnósticos no tienen ni idea de lo que hacen diagnosticaron cáncer  una inyección por 300 y por lo pésimo de su servicio fui a una,"They take too long to attend to an emergency, they do not allow family members to enter, dying of cold outside, I returned to my husband without being attended to because I could not stand the pain anymore.",negativo
pesima atención pascientes con fracturas pueden estar más de 15 días sin atención que clase de administración tienen y se dicen profecionales de la salud asco es lo que dan,"the attention is very poor
from triage to emergency doctors
They get angry for telling them to answer faster, they spend it on the networks",negativo
la verdad me siento decepcionado hace una media hora me regresé del hospital san francisco en quito a casa sin atenderme fuimos a emergencias un dolor en el pecho en el brazo y mareos soy diabético e hipertenso no querían que mi,"How everything that has to do with the insurance of this country is terrible, the rude attention from the guards, the doctors and other personnel, I think that better attention and treatment is received in the hospital than in that place my mother had a surgery",negativo
"falta atención no
puede ser que uno con emergencia espere 5 o 6 horas para que lo atiendan hospital desordenado pésima  todo el iess malo remalo medicinas dolo paracetamol e ibuprofeno","Good evening, I have been waiting for emergency care for more than four hours from the doctor from office 1 who apparently has to attend to me. I asked him at 1800 pm and he informed me that there were three patients before me. It is already 2056 pm and I am still waiting to make matters worse. ask again and answer rudely",positivo
se demoran demasiado en atender una emergencia no dejan ingresar a los familiares muriendo de frío afuera regresé con mi esposo sin que lo atendieran porque no aguantaba más el dolor,"The truth is, I feel disappointed about half an hour ago. I returned home from the San Francisco hospital in Quito without attending to me. We went to the emergency room. I had chest pain in my arm and dizziness. I am diabetic and hypertensive. They didn't want my",negativo
cada vez van de mal en peor la atención en emergencias es pésima no hay médicos disponibles y en muchos de los casos hay uno solo para tanta gente además cancelan citas medicas de la noche a la mañana incluso cuando ya están agendadas de hace meses,"We went in as an emergency due to a very high blood pressure rise in my mother 218103 and they kept us waiting for 1 hour and a half and to make matters worse she was not attended to so I had to take her to another place, terrible service, terrible staff, they are not at their jobs.",negativo
cómo todo lo que tiene que ver con el seguro de este país pésimo la atención groseros desde los guardias los doctores médicos y demás personal creo que mejor atención y trato de recibe en el camal que en ese lugar mi madre tenía un cirugía,"The treatment given to the relatives of those hospitalized is very poor, although it is true that they can only allow one visitor per patient, it seems illogical to me and even an attack on human rights since there is no due",negativo
hay una tipeja que toma los signos vitales que no atiende apropiadamente se le explica la situación y aún así  no urgente un asco de servicio esta gente debería de ser despedida pero creen que es gratis y no no es gratis la atención son unos pseudo profesionales de profesionales no tienen nada,"It seems that they are unwilling to serve and believe that they are doing the favor or the great sacrifice of serving people.
in short, terrible attention",negativo
muy deficiente el trato que se da a los familiares de los hospitalizados si bien es cierto que sólo pueden dejar ingresar un visitante por paciente me parece ilógico y hasta un atropello a los derechos humanos pues no hay el debido,"Terrible care, patients with fractures can go without care for more than 15 days, what kind of administration do they have and they say that health professionals are disgusting, that's what they give",negativo
"parece que están sin ganas de atender y creen que hacen el favor o el gran sacrificio de atender a las personas
en fin pésima atención","Terrible care, I was in the emergency room with a guarded prognosis and in such an exam, drawing blood, they left the needle in, dripping blood, all because they were worried about the sample tube. Can you imagine that when you were with",negativo
es un gran hospital la  todo en los últimos 5 años de gobierno es la falta de personal de salud la deficiente administración el poco presupuesto para medicinas ausencia de control y gestión en el mantenimiento de los equipos e,so that this emergency if the attention is super lousy,negativo
la atencion medica es buena pero deberia mejorar en algunos aspectos y en algunos  personal de guardiania e hidratacion,"For the resources they have and the salary they pay to the employees in the hospital, they have been managed relatively well. I have been through several family emergencies and the care is relatively good.",positivo
atención pésima estuve en emergencia con un pronóstico reservado y en un examen tan  sacar sangre me dejaron la aguja metida chorreando sangre todo por preocuparse por el tubo de muestra se imaginan eso cuando uno estaba con,I need to talk to someone at the hospital on the phone and they never answer,neutro
para que esta emergencia si la atención es súper pésimo,"If it were not for its emergency room, which is very slow and depends on the attention of the hospital doctors so that they can care for their members in their remaining time, their attention would be very good.",positivo
necesito hablar por teléfono con alguien del hospital y nunca contestan,"There is a type that takes vital signs that does not attend appropriately, the situation is explained to her and even then it is not urgent, a disgusting service, these people should be fired but they think it is free and no, the care is not free, they are pseudo professionals, they are not professionals at all.",negativo
para los recurso de los que disponen y el sueldo que les pagan a los empleados en el hospital relativamente bien se han manejado he estado por varias emergencias de familiares y la atención es relativamente buena,"The attention in this state establishment leaves much to be desired, the poor treatment of the user, the indifference and arrogance are the main actors on the part of the staff who work on the site.",negativo
si no fuera por su sala de emergencia que es muy lenta y depende de la atención de los médicos del hospital para que ellos atiendan a sus afiliados en su tempo que les queda seria muy buena su atención,"It says that the location of this site is on Junín Street, it is wrong, if this remains to be imprisoned, gentlemen of Google, please delete this location on Junín Street, it seems that someone purposely put a duplicate of this site on",negativo
la atención en este establecimiento del estado deja mucho que desear el mal trato al usuario laindiferencia y prepotencia son actores principales por parte del personal que labora en el sitio,"I was at the open house and the hospital treats chemical waste and polluting waste, they were exposing some companies with which they work, the same ones that reported what the means and",negativo
dice que la ubicación de este sitio es en la calle junín es erróneo si esto queda por carcelen señores de google por favor eliminen está ubicación en calle junín  parece que alguien puso a propósito un duplicado de este sitio en,excellent service thank you always like this thank you,positivo
estuve en la casa abierta y me  el hospital trata los desechos químicos y los desechos contaminantes  estaban exponiendo algunas  empresa con las que trabajan  las mismas que informaban  cuáles son los medios y,Medical care is good but should improve in some aspects and in some care and hydration personnel.,positivo
excelente atención gracias siempre así gracias,"In this hospital, the service is first class, the rooms are super clean and modern, the devices they work with are state-of-the-art. The only thing I don't like is that they don't give much information about the patients and they make you wait.",positivo
en este hospital el servicio es de primera la habitación super aseadas y modernas los aparatos con que trabajan de última tecnología lo único que no megusts es que no dan mucha información acerca de los pacientes y te hacen esperar,"The emergency care is deficient. The times I have gone in, I have managed to spend time, especially the specialist doctors, and they do not provide care in a timely manner even though there is free space and staff in referrals.",neutro
la atención en emergencias es deficiente las veces que entré he logrado  pasan el tiempo sobre todo los doctores especialistas y no atienden de manera oportuna aunque exista espacio y personal libre en derivaciones,"Terrible emergency care, they leave patients waiting for hours and then say that they don't care there, it's a shame that from our contribution comes the salaries of people who have no vocation with zero empathy for patients.",negativo
