wiI7pd,etiquetas_TB
pésimo servicio en el área de emergencia el personal administrativo  y guardias groseros  le negaron la atención a un paciente que estaban super mal  que no podía ni caminar del dolor por el hecho de que pese a que está  voluntaria le faltaban 4 días y no tenía fiebre espero no tener que regresar nunca,negativo
un hospital que no sirve para nada solo dejan a los pasientes tirados en una esquina con un suero por 6 horas y los guardias muy antipáticos ven que las personas se desmayan y solo voltean la mirada,negativo
"la peor experiencia de mi vida en una sala de urgencias mi novia tenía apendicitis y se demoraron 18 horas en darnos el diagnóstico
después de muchos exámenes a lo que nos dicen que no nos pueden atender ahí",negativo
pésima atención por la persona que entrega el turno para ser ingresado la pésima limpieza se ven en los pasillos las capas que ponen sucias incluso de sangre no se tiene personal de enfermería un paciente tiene que atenderse solo que,negativo
la atención en este hospital es pesima les calificara con cero pero no se puede mi mamá el día de ayer ingreso por emergencias le faltaba el oxigeno ingresamos a las 2 de la tarde y hasta las 6pm nunca la atendieron se les reclama al,negativo
un lugar donde no tienen sentido de urgencia ni humanidad desde los guardias un pésimo trato en triage las enfermeras no tienen ni idea de lo que hacen no saben tomar signos vitales no tienen los implementos necesarios para atender a,negativo
horrible atención nos  se les obligará a trabajar y sin sueldo y da hasta miedo preguntar algo a alguien,negativo
un hospital donde se aporta mensualmente  100 y a veces hasta más tienen una pésima atención desde los guardia pseudoprofesionales  pésimos diagnósticos 0 en sentido de urgencia tienes que llegar más muerto que vivo para,negativo
pésima atención lleve a mi esposa por emergencia ya que estaba muy mal en cuanto a salud se demoraron 1 hora para la toma de signos vitales y sin haber personas la respuesta de la señorita es que no todavía no le reflejaba el nombre de mi,negativo
hay más guardias que personal médico parece que entramos a una prisión no disponen de insumos medicinas habitaciones el personal de seguridad no tiene la más mínima empatía se creen dueños  muy mal servicio,positivo
buenas noches llevo más de cuatro horas esperando la atención por emergencia el dr del consultorio 1 que aparentemente me tiene que atender se lo pregunté a las 1800pm y me informo que habían tres pacientes antes de mi ya son 2056 pm y sigo esperando para colmo se le vuelve a preguntar y contesta grosero,negativo
"la atención es paupérrima
desde triaje hasta los doctores de emergencia
se ponen bravos por decirles que atiendan más rápido se las pasan en las redes",negativo
entramos por emergencia por una subida de presión altísima de mi madre 218103 y nos tuvieron a la espera por 1 hora y media y para colmo no fué atendida  por lo que me tocó llevarle a otro lugar pésimo servicio pésimo personal no están en sus puestos de trabajo,negativo
si pudiera le doy 100 de calificación pedimos profesionales pésima antencion pésimos diagnósticos no tienen ni idea de lo que hacen diagnosticaron cáncer  una inyección por 300 y por lo pésimo de su servicio fui a una,negativo
pesima atención pascientes con fracturas pueden estar más de 15 días sin atención que clase de administración tienen y se dicen profecionales de la salud asco es lo que dan,negativo
la verdad me siento decepcionado hace una media hora me regresé del hospital san francisco en quito a casa sin atenderme fuimos a emergencias un dolor en el pecho en el brazo y mareos soy diabético e hipertenso no querían que mi,negativo
"falta atención no
puede ser que uno con emergencia espere 5 o 6 horas para que lo atiendan hospital desordenado pésima  todo el iess malo remalo medicinas dolo paracetamol e ibuprofeno",negativo
se demoran demasiado en atender una emergencia no dejan ingresar a los familiares muriendo de frío afuera regresé con mi esposo sin que lo atendieran porque no aguantaba más el dolor,negativo
cada vez van de mal en peor la atención en emergencias es pésima no hay médicos disponibles y en muchos de los casos hay uno solo para tanta gente además cancelan citas medicas de la noche a la mañana incluso cuando ya están agendadas de hace meses,negativo
cómo todo lo que tiene que ver con el seguro de este país pésimo la atención groseros desde los guardias los doctores médicos y demás personal creo que mejor atención y trato de recibe en el camal que en ese lugar mi madre tenía un cirugía,negativo
hay una tipeja que toma los signos vitales que no atiende apropiadamente se le explica la situación y aún así  no urgente un asco de servicio esta gente debería de ser despedida pero creen que es gratis y no no es gratis la atención son unos pseudo profesionales de profesionales no tienen nada,negativo
muy deficiente el trato que se da a los familiares de los hospitalizados si bien es cierto que sólo pueden dejar ingresar un visitante por paciente me parece ilógico y hasta un atropello a los derechos humanos pues no hay el debido,negativo
"parece que están sin ganas de atender y creen que hacen el favor o el gran sacrificio de atender a las personas
en fin pésima atención",negativo
es un gran hospital la  todo en los últimos 5 años de gobierno es la falta de personal de salud la deficiente administración el poco presupuesto para medicinas ausencia de control y gestión en el mantenimiento de los equipos e,positivo
la atencion medica es buena pero deberia mejorar en algunos aspectos y en algunos  personal de guardiania e hidratacion,negativo
atención pésima estuve en emergencia con un pronóstico reservado y en un examen tan  sacar sangre me dejaron la aguja metida chorreando sangre todo por preocuparse por el tubo de muestra se imaginan eso cuando uno estaba con,positivo
para que esta emergencia si la atención es súper pésimo,positivo
necesito hablar por teléfono con alguien del hospital y nunca contestan,negativo
para los recurso de los que disponen y el sueldo que les pagan a los empleados en el hospital relativamente bien se han manejado he estado por varias emergencias de familiares y la atención es relativamente buena,positivo
si no fuera por su sala de emergencia que es muy lenta y depende de la atención de los médicos del hospital para que ellos atiendan a sus afiliados en su tempo que les queda seria muy buena su atención,neutro
la atención en este establecimiento del estado deja mucho que desear el mal trato al usuario laindiferencia y prepotencia son actores principales por parte del personal que labora en el sitio,negativo
dice que la ubicación de este sitio es en la calle junín es erróneo si esto queda por carcelen señores de google por favor eliminen está ubicación en calle junín  parece que alguien puso a propósito un duplicado de este sitio en,negativo
estuve en la casa abierta y me  el hospital trata los desechos químicos y los desechos contaminantes  estaban exponiendo algunas  empresa con las que trabajan  las mismas que informaban  cuáles son los medios y,positivo
excelente atención gracias siempre así gracias,positivo
en este hospital el servicio es de primera la habitación super aseadas y modernas los aparatos con que trabajan de última tecnología lo único que no megusts es que no dan mucha información acerca de los pacientes y te hacen esperar,negativo
la atención en emergencias es deficiente las veces que entré he logrado  pasan el tiempo sobre todo los doctores especialistas y no atienden de manera oportuna aunque exista espacio y personal libre en derivaciones,negativo
pésima atención en emergencia dejan a los pacientes esperando horas  para luego decir que eso no ño atienden ahí una pena que de nuestro aporte salgan los sueldos de personas que no tienen vocación  con cero empatia por los pacientes,neutro
pésima atención asistimos con mi esposo que es paciente renal con fiebre dolor de pecho tos escalofríos y no nos quisieron atender según porque saturamos bien llegamos al batán luego de una hora de espera nos atendieron diciendo que,positivo
pésima atención lleve a mi niña de 4 meses y mi niño 4 años con dolor y diarrea  no tenían fiebre no los atendieron después de 6 horas me dicen que no es emergencia porque no tienen fiebre que espere 24 horas me fui de hay sin atención,negativo
"mala experiencia quería un certificado médico para presentar en el trabajo porque tengo síntomas de covid pero esperé 1 hora para que solo me tomen los signos vitales y me digan que me vaya al batán o cotocollao
solo quería un certificado para el trabajo por dios",negativo
fue decepcionante ayer martes desde la 1320 ingrese a mi hijo recién al triage 1630 y me quedé hasta las 1900 porque  que solo hay un solo médico y muchos niños con tanta dolencia que no fueron atendidos mi hijo fue con,positivo
la atención del personal médico es muy buena lamentablemente el servicio de asesores falla frecuentemente lo que causa malestar principalmente en adultos mayores que requieren consulta externa,negativo
pésima atención llegué a las 6pm de la tarde son las 3am de la madrugada y sigo esperando atención,positivo
son inhumanos se tanto tiempo aportando mi madre para que le manden paracetamol y ni siquiera realizan una adecuada valoración de los pacientes ahora mi madre está internada en otra casa de salud particular ya que el dicho seguro social casi me deja morir,negativo
muy buena atención,positivo
mala atención al público en el departamento que recibe los certificados médicos para ser legalizados los dos señores de ahí tratan a la gente con nada de respeto estuve ahí y el uno le grito a una señora no le recibió el documento y la trató mal son servidores públicos y se deben a los usuarios,negativo
son los mejores profesionales especialmente en emergencias actúan rápido  se debe fui bendecida al haber llegado allá cuando lo necesite  allí me salvaron la vida,negativo
los doctores jóvenes que ni saben los protocolos las señoritas de admisión que no saben lo que es una emergencia y creen que tienen más poder que los doctores más practicantes que médicosun relajo todos por todo lado y después el covid es porque se sale a la callevergüenza,positivo
buenos días nuevamente cambio  anterior ya que fui atendida telefónicamente entendiendo que tienen un número excesivo de llamadas y lógicamente es  también me fue posible arreglar cambio cita médica por lo que agradezco enormemente y felicito su pronta atención,negativo
pésima atención en información imagen lo peor de lo peor y urología no saben tratar a sus pacientes son groseros y groseras especialmente con adultos mayores,positivo
si pudiera calificar a este centro de salud hablando por pediatría la calificación de este sería de 0 las demás areas serían de una a maximo dos estrellas los dispensarios del ministerio de salud pública son un lujo el mejor de todos,positivo
"los doctoresdoctoraslicenciadasalgunas enfermeras y  amables
pero los señores guardias totalmente cerrados y no entienden razones ni se toman",positivo
estamos en emergencia con mi familiar angela maria ruiz alcivar en este momento y esta que se muere del dolor porque parece que tiene apendicitis y estos del iess nada que nos atienden estamos en el san francisco y resulta que nos tienen a,neutro
es muy triste e indignante lo que voy a contar de este centro de salud mi madre fue ingresada por emergencia la madrugada del 8 de agosto sobre las dos de la mañana a lo cual ella llega con un fuerte dolor de estómago pero las personas,negativo
"indignante
son las 11 de la noche y mi abuelita a punto de tener un infarto nos ingresan a una sala para hacerle un electrocardiograma llega un medico y por preguntar si",positivo
los ascensores no sirven y se necesitan para traslado de pacientes que no pueden subir gradas por reciente cirugía,negativo
la atención es buena dentro de lo q cabe los médicos hacen su mejor esfuerzo pero la gente cree q siempre tiene prioridad,negativo
por emergencia desde las 11am y siendo las 1520 aún no somos atendidos hospital de la muerte,negativo
ayer esta un paciente muy grave y no le dan ingreso al hospital esta con peritonitis es un joven con ganas de vivir pero el hospital lo tiene afuera por mas que le dieron el tralado pido un poquito de solidaridad que lo ingresen a una cama hospital san fransisco de quito,positivo
"excelente atención  médicos muy profesionales y sobre todomuy humamos 
mucho aseola sugerencia que tengo es una cafeteríael espacio está allíademas muy linda vistapero no hay servicio",positivo
emergencia del hospital atención rápida y amable las escualidades se demoran un poco en atender pero solucionan los problemas de manera eficiente,negativo
a pesar de las filas de espera para mis turnos la atención es excelente y tiene los insumos necesarios,negativo
me envian al batan o cotocollao sabiendo q estan cerradas las vias por carrera de bicicletas,negativo
ubicacion erronea en el mapa aparece en calle junin   el hospital san francisco del iess es en la av jaime roldos sector carcelen,negativo
pésima atención largas colas,positivo
nadie contesta los telefonos del hospital  es increible la falta de entrega del personal  necesito informacion urgente ya voy una hora de llamada y nadie contesta,negativo
pésimo servicio en todo sentido guardias patanes e irrespetuosos salas y habitaciones sucias y médicos que parece que les apesta la vida,positivo
buenas noches por favor de ibarra viaja una paciente de urgencia es afiliada al iess si esta el hospital en condiciones de recibirla,negativo
está bastante bien provisto para sus especialidades brinda una buena atención los empleados son amables y el lugar está bien mantenido en ambiente y limpieza,negativo
para mi el peor hospitao con pesima atencion,negativo
la atención médica es aceptable si estas asegurado pero la atención es lenta y no te suelen atender rapido,positivo
en este hospital le atenderán en emergencias señores guardias de seguridad porque médicos no hay pésima atenciónpésimo servicio,negativo
si es buena la atención solo lo hay medicinas,negativo
toda la tarde gastando saldo para pedir una cita y nunca me contestaron lamentable,negativo
pésimo servicio llegan casos graves y no son capaces de atender con eficacia,positivo
rapida atencion  en las mañanas antes de las horas  e inmediata respuesta,positivo
terrible voy desde las 12 y les seleccionan a los pacientes x código d color o x parentesco de alguien q trabaje adentro sigo esperando la atención q merecemos todos los ecuatorianos,positivo
las instalaciones son muy bonitas sin embargo la atención no es 5 estrellas,negativo
una de las mejores obras del iess  felicitaciones a la jefe,positivo
"pesimo pesimo el servicio
mala informacion por un certificado no disen ni quien da ya voy 3 horas solo esperando el certificado y no puedo retirarme a descansar",negativo
el asco de atención telefónicacuelgan y dejan sin atención uno hay que prepararse con 10 de saldo mínimo para llamar a estos ineptos,positivo
10 horas para poder ser atendido,positivo
excelente hospital tiene una buena atención y un control estricto del covid,neutro
un hospital  la atención ha mejorado mucho en este 2018 en el exterior hace falta lugares de parqueo,neutro
tuve una cirugia,negativo
"pésima atención y servicio deplorable
sin sistema y nada de información para el usuario",positivo
el lugar es nuevo el  siempre es la atención hay que llegar con un cuchillo clavado en el pecho para que te atiendanme refiero a emergencias,negativo
hay que esperar mucho tiempo para que le atiendan en una emergencia,neutro
buena atención y hay buenos profesionales,positivo
la peor atención y los doctores pésimos,negativo
realmente pésimo uno llama alzan el teléfono y cuelgan creo que las personas que trabajan contestando no son lo suficientemente capacitados,negativo
buenas tardes quisiera saber si estan cogiendo personal para limpieza y donde hay que dejar la carpeta gracias,positivo
estuve desde las 9 pm hasta el otro día y no me atendieron que malos no me gusta,negativo
pésima atención por parte de enfermería en cuidados,negativo
buena atención del personal médicomucha gente,positivo
hospital limpio con excelentes profesionales,positivo
ola juan pablo si tu tienes ami mamá porfavor dime donde esta,neutro
desde el ingreso pésima imágen los guardias son unos altaneros,positivo
nuevo hospital muy higiénico y buen personal,positivo
estoy desde las 7am asta ahorira y no me atienden 1 pm,neutro
muy buena atencion  super buenos los doctores,positivo
muy bueno y basil,positivo
muy buenos,positivo
exigen que los acompañantes pasen la noche con los pacientes en una silla no es justo,negativo
falta prestarle atencion al servicio,positivo
la amabilidad y la atención hacia el usuario muy agradecido,negativo
muy lenta la atencio,positivo
es buen hospital,positivo
además de ser médicos son tambien amigos de los pacientes,neutro
exelente muy buena atención,positivo
si me gusta está perfecta,positivo
la atención es muy buena,negativo
una pena q no este a la mano la direccion muy mal,neutro
los hospitales del iess son los mas modernos del país,positivo
lo mejor en atenciónel iess y sus nuevos hospitales,positivo
muy bien,positivo
ya estoy aquí por dos ocasiones es bueno,positivo
buena atención de médicos y personal,positivo
esa no es la dirección está mal el mapa,negativo
muy grande,neutro
buenos profesionales de la salud,positivo
atención cálida y profesional,positivo
muy divertido,positivo
atendimiento muy demorado,positivo
muy bnbn gracias,positivo
la atención es mala no la,positivo
bien,neutro
hospital con excelente servicio,negativo
una excelente atención,positivo
excelentes profesionales,positivo
negligencias medicas,neutro
atención rápida,positivo
citas médicas,positivo
porque no les interesa el estado de las personas deben estar cansados de lidiar con lo mismo que se han vuelto insensibles,positivo
la atencion excelente,negativo
buen hospital muy limpio la gente es acogedora,neutro
con la norma,positivo
normal,positivo
hospital de seguridad social,negativo
pesimo servicio en el área de derivación de fisioterapia llegó con más de 30 hora antes para podet pasar a la cita y la chica se demora en verificar los turnos  adicional si no tienes padrinos no te dan turno pésimo  incluso cuando estuve esperando una enfermera le pidio que le ingrese un turno a un paciente,positivo
"no hay suficientes ascensores y los mismos son muy pequeños no todo el personal es amable de repente les hace falta un curso de relaciones humanas
preguntar bien porque si se puede ingresar con vehículo para personas con  lo malo es que suele estar lleno el parqueadero",negativo
"estuve esperando más de 1y30 de la cita que tenia y debido a eso no pude asistir a otros aventos que tenia
es muy bonito solo que la atención es muy tardada",negativo
no me llaman hasta ahora para darme la derivacion desde el 28 de febrero llevo esperando para una endoscopia y colonoscopia urgente que me derivo la gastroenteorologa de biodilab llamo y no responden ningun telefono terrible atencion y servicio,negativo
el chiste de la sala derivaciones es un espacio para estar calentando el puesto se espera meses para tomar un turno en especialidad la gente que trabaja  ineficiente recibiendo el sueldo de gratis terrible la situación de ese intento de hospital,positivo
centro con varias especialidades lo mantienen limpio los guardias son un poco intransigentes debo acceder a veces con mi padre que tiene movilidad reducida y requiere de asistencia y no me dejan pasar,positivo
"muy buenas instalaciones muy buenos equipos  excelente atención al fin algo digno para los afiliados
el centro médico familiar integral y especialidades diálisis la mariscal no le",positivo
"no me gustó para nada hacen perder mucho en tiempo hay que sacar turno para el turno del turno
adicional el dr cando de medicina familiar muy mal educado  ofensivos y fuera de lugar y se burla de  de los pacientes pésimo lugar",positivo
centro integral de especialidades muy buena atención el lugar muy limpio y ordenado,negativo
es limpio buena atención de los médicos solo que en el 4to piso traumatología es pésima la atención en el triaje no menos precio el trabajo de personas venezolanaspero que pésima atención se dejan amontonar la gente así se pierde tiempo y los doctores piensan que uno es el que viene atrasado,positivo
están tomando todas las medidas del covid para el ingreso el sitio es amplio y limpio aún así no están asignando citas hasta que pase a verde el semáforo y me parece que por las dimensiones podrían habilitar al menos algunas consultas y especialidades para no limitar el servicio,positivo
muy buena la atención de su personal lo único que las recepcionistas de el piso 4 no dan buena información uno va a pedir por favor un turno y brava dice no hay aquí para oftalmología vaya a otro dispensario del iees con una mala actitud ni para traumatología,positivo
buenas tardes tengo una solicitud para derivación de clínicas privadas con convenio para colposcopia endoscopia y colonscopia pero me dicen que debo esperar 2 meses por lo menos para  la respuesta pueden ayudarme con estos,positivo
buenos días estoy necesitando cambiar citas medicas de mis hijos con especialistas y en el call center 140 no lo pueden hacer me dan un número telefónico del hospital que solo envía a extenciones que nunca  puedo hacer para,negativo
la atención es muy demorada pero lo realmente malo es que los baños están muy sucios y no hay papel higiénico y es un centro de salud,negativo
pésima atención la oftalmología muy mala la doctora se enoja con los pacientes y les habla mál pésima para la atencion debería sacarla no se porque atienden mal si una pága iess para  buena  atención pero muy mal servicio de oftalmología y odontólogia  no l,positivo
por que la stra que atiende en  recepción no se rije   es su obligación  a las personas que tienen su  le ve que está con uniforme de doctora le ase rápido el trámite de sacar turno mientras el resto tiene que esperar y mirar el monitor a ver si pasa algún número todo está burocracia tiene que cambiar,negativo
me operaron el día viernes 14 de agosto por lo que mi hermana me está ayudando a gestionar el canje del certificado médico en la oficina del iess de la mariscal desde el lunes 17 primero no le atendieron porque estaba fuera de horario de,positivo
me siento muy inconforme ya que personalmente yo cogi una cita para el otorrino para mi hijo el cual me lo asignaron para el 23 de enero y ahora que reviso en  me lo cambian al 15 de febrero el cual ni siquiera an tenido la,positivo
para la atención de referencia en ventanilla fue rápido claro llegue a las 1200 horas  lo malo es que ni hay parqueadero cercano,negativo
muy buena atención a los afiliados  ojalá no cambien los empleados de esta institucióngracias al gobierno que ha sabido hacer una buena inversión con el dinero de los asegurados,neutro
no dejan ingresar a dos personas para turnos de pediatría,positivo
excelente atención médica el centro muy limpio,neutro
"las auxiliares no tienen paciencia y les falta inducción
cuidado  de los bienes muebles",positivo
son unas basuras de personas en atención al usuario,positivo
en este centro médico solo hay consultas médicas con muy buenos especialistas la atención es muy buena,positivo
este es sin duda el mejor hospital del iess excelente en todo,neutro
dice que esta abierto los sábados y acabo de ir y no está abierto,positivo
necesito poder  quejarme de un mal servicio  a donde acudo,negativo
lugar muy limpio y ordenado muy buena atención,positivo
muchas especialidades excelentes médicos,neutro
excelente hospital atención de primera,negativo
pesimo trabajo de los pediatras no les importa los niñ,positivo
horrible no ponen buena música,negativo
me gusta muy buena,neutro
por la disponibilidad de extensión  de trucos y la atención  de sus profesionales,positivo
muy buen hospital y buenos doctores,neutro
excelente atención médica,positivo
dirección porfavor,positivo
un lugar que cuida al usuario,positivo
es moderno,positivo
mi trabajo,neutro
excelentes,positivo
abierto recientemente impresionante infraestructura médica,positivo
es la segunda vez que acudo hacerme exámenes de laboratorio después de conseguir una cita desde hace 3 meses para llegar hacer una fila enorme a la madrugada y que me den la agradable noticia de que solamente podían hacerme un exámen de 4,positivo
fuí a la 1 de mañana con un dolor intenso y vomitando por la vesícula lo único que me dijeron fué no hay sistema vaya al hospital iess del sur  el personal es negligente,neutro
la recepcion a los pacientes es demasiado robotizada por favor señores guardias aprendan relaciones humanas y señores y señoras recepcionistas a un hospital no se viene por deporte sino por necesidad,negativo
el guardia que entrega turnos es   y estafador entrega turnos a su conveniencia sin respetar ni hora de llegada ni edad de los pacientes ni nada a las personas de la tercera edad les  animales ponen un guardia,neutro
"no tienen una sala de espera adecuada solo hay una carpa fuera hace demasiado frío
la atención es demorada poco personal y los trabajadores no son muy amables
no hay medicinas",negativo
"malo malo malooooo
cómo es posible que en un hospital hayan dos doctores para atender a todas las personas",negativo
pésimo servicio en especial con los de uci  una evelyn cevallos y creo que es el amante por qué aparte parece cabaret gracias al espectaculo tan deplorable de esta gentuza  deberían sacar de nomina a esos sinvergüenzas,negativo
se debe mejorar el servicio al menos en el área de validación de certificados es pésima la atención la cantidad de personal o el horario no abastece a la demanda solo se atienden 50 personas al día las colas para alcanzar un turno son,negativo
"uno se acerca con tiempo para que le tomen los signos vitales a 720 de la mañana ya que se tiene vita medica a las 820
va uno con tiempo para que no se aglomere los turnos y no le atiendan más tarde",negativo
la peor atención los guardias ni que decir y si vas a la emergencia un fin de semana solo te atienden estudiantes sin experiencia lamentablemente esto pagamos y es un servicio de pacotilla,negativo
hoy 201023 mi esposo se encuentra desde las 4 de la tarde en este hospital si así se le puede llamar porque presenta inflamación en los ganglios linfaticospero para las enfermeras de este lugar eso no es una emergencia y por ende,negativo
la atención mala mi hija muy mal y no dan la prioridad a niños y adultos mayores están afuera padeciendo y nadie les atiende rápido,negativo
un pésimo servicio parece que todo mundo está se vacaciones nadie atiende todos en la cháchara,positivo
es pésimamente la atención a los pacientes ni siquiera entienden la palabra de urgencia médica hay  son de tercera edad q deberían ser la propiedad de atención  los niños pero ni ha eso señores,neutro
perifoneo constante de propaganda de ópticas por el sector,positivo
cuando llegue le atendieron a mi hija mejor que clínica privada salí muy satisfecha,negativo
es un desperdicio de dinero el seguro se paga un seguro por ser bien atendido llegué con temperatura alta en la madrugada 410am y nos hicieron esperar afuera en el frío casi dos horas no sirve de nada tener seguro,positivo
la área de validacion no tratan con amabilidad mejor diríjase a los doctores o enfermeras cuáles aún tienen algo de decencia y amor por ayudar al enfermo que es muy posible que les atiendan y no tengan que esperar meses en su cabio de turno,negativo
me realice una cirugía desde las cita previas excelente atención puntualidad aseo y personal muy prefesional,positivo
emergencias me atendió de inmediato por el estado en que me encontraba no hubo tetanol salí de ahí y me tocó buscar en otros lugares consiguiendo únicamente en novaclinica quienes para administrar el medicamento me hicieron regresar al,negativo
pésima atención se demoran en hacer pasar los turnos sí los usuarios que ya se encuentran ahí para el respectivo turno deberían hacerlos pasar si el que llegó atrasado que pena que aprenda a ser puntual al turno asignado y por impuntual no va perjudicar a los que si llegan puntuales,negativo
los tiempos de espera en dias normales no son largos son muy largos eso si los dias despues del feriado esos dias se llenan de gente buscando certificados hay carencia de especialistas en la emergencia aunque la mayoria del tiempo hay,positivo
el tiempo de espera es demasiado la atención es buena pero no hay medicinas toca salir  fuera del hospital y eso está mal ya q estamos aportando,positivo
si pudiera poner 0 estrellas lo hiciera 5 horas en emergencia y nunca fue atentido mi hermano no es gratis es pagado la peor atención que verguenza de servicio,negativo
hospital del día sangolqui posee grandes y cómodas instalaciones adecuadas para los pacientes que acuden porservicios médicos a sus instalaciones constituye uno de los hospitales que conforman la red de servicios médicos delieess la,positivo
falta de atención con rapidez,positivo
es una pésima atención han pasado mas de una hora supuesta mente atendiendo un paciente y resulta q era familia del doctor se supone q emergencias se las  su nombre lo dice por emergencia me parece una falta de respeto de parte del drmoncayo de medicina general 1,negativo
este hospital está abierto las 24 horas del día pero la atención es muy mala para una  mínimo hay que esperar 4 horas aunque estés pagando por el servicio la verdad es muy deficiente creo que realmente no atienden,negativo
es un hospital del día q presta atención 247 y cubre carias especialodades ademas cuenta con área de emergencias quirófano fisiatria consulta externa imagenología y rx atencion y club del adulto mayor y crónicos metábolicos y todos unos excelentes profesionales al servicio de los afiliados,positivo
con el presidente lasso todo empeoró que pena porque ella sistema de salud en ecuador era un referente hace 10 años,negativo
pesimo servisio  de entrada no hay una ventanilla done se pueda preguntar se le pregunta a alguna enfermera o doctora no saben nada bueno me puse en la fila donde deriban los examenes parada una hora en la fila llego a la,negativo
pésimo servicio  el servicio pésimo la atención  por mencionarle en el área de emergencias  la atención en el sector donde se dan los turnos  uhhh esa persona que atiende  me  hay gente así que esta en esos puestos  pésimoparecía mudo  eso debe cambiar poner gente que verdaderamente sirva de algo,negativo
la atención es un poco lenta y hay varias personas que atienden con mala actitud por supuesto no son todos pero si deja bastante que desear,negativo
siempre hay que hacer filas larguísimas para sacar turnos y hay que hay que ir en días diferentes para sacarlas,negativo
"pesimo los suministros de aseo no son los adecuados usan la misma jeringa de la medicacion para nebulizaciones fines de semanaaparte q no una guantes ni mascarilla y no se protegen con gel antibacterial
pesimo pesimo pesimo",negativo
pésima atención el personal es lento e indolente además que no son capaces de atender cosas sencillas asistí a emergencias con mi hija por una fractura de brazo y después de perder más de una hora me dijeron que vaya a otro hospital porque ellos no tienen traumatologo,negativo
dejan pasar a quien les dé gana por preferencias si son amigos o familiares no les hacen esperar 4 horas por emergencia,negativo
imposible una cita medicina general las autoridades están ausentes no hay información el call center demuestra la ineptitud de la atención no se pude conseguir cita para cuándo,negativo
me he operado aqui y me trataron muy bienmuy amables todos y muy profesionales sin duda una buena experiencia,positivo
hola necesito ayuda por favor esq a mi hijo tienen q operarle de los testículos el tiene 2 años y medio pero no sé si le operen ahí mismo o le manden al vaca ortiz alguien me puede ayudar,positivo
tuve una buena atención en odontología,positivo
podrían mejorar la atención a los  tener más interés en la salud,positivo
la  todo hospital público para exámenes médicos se  ir a las 500 am mucha gente,positivo
mal muy mal 4 horas y no pueden atender a mi hijo de 6 años hasta cuando,negativo
atención un poco lenta pero muy eficaz,positivo
es el lugar donde tu familiar  por negligencia médica puede morir,positivo
buena atención dios bendiga a los prestadores de salud,positivo
atención rápida y todo parece  se ve limpio y seguro,positivo
es un buen lugar para el deporte,positivo
excelente atención de las señoritas de información gran agilidad y eficacia,positivo
lugar moderno y buena atención,neutro
bueno si se tiene paciencia,negativo
buena atención cuidan los procedimientos anti covid,positivo
excelente atención al cliente y lindo lugar,positivo
la experiencia en el área de fisioterapia es excelente,positivo
muy buena atención y hasta en la noche,positivo
todavia no graciss,negativo
bueno la atencion no es todo de lo mejor pero algo es algo,positivo
seguro social que podría decir,positivo
buen servcio de atención medical,positivo
muy mala atencion,negativo
excelente la atención,positivo
muy util,positivo
atención a tiempo y cordial,positivo
pesima atención,negativo
por este hospital,neutro
un lugar muy limpio,positivo
hospital solo para asegurados al iess,neutro
faltan parqueaderos,neutro
falta estacionamientos,neutro
cómodo,positivo
pésimo,negativo
un poco demoroso,negativo
atencion lenta,positivo
no son tan ágiles,negativo
ecelente atención,positivo
lejos lejos,positivo
exito,positivo
buenos profesionales,positivo
la atencion es buena,positivo
muy buen hospital,neutro
lleno de gente sin plazas de aparcamiento,neutro
reducir,negativo
el día de hoy mi hija tenía cita cita médica pero la pediatra no quiso atenderle ahí nadie hacia nada más que conversar y estar en el celular hasta la dra déspota prefirió no atender a mi hija que le dije que está enferma con fiebre y,negativo
pésima la atención la señorita de agendamiento de turnos atiende a los pacientes sin amabilidad y es una patada grosera diciendome de manera grosera y alzandote la voz que ella no da informaciónes y que me valla a otro lado  primo pésimo pésimo el personal,positivo
no hay derivaciones ni tampoco para examen de control y la pediatra que atendió a mi hijo que actitud tan fea y cuando uno va a sacar cita solo hay en ese lugar  tampoco me dieron medicina ni nada pésimo servicio ir desde lejos para que lo traten así,neutro
"fui a una revisión te atienden con las puertas abiertas no hay privacidad el médico que me atendió no me preguntó absolutamente nada me dijo a qué viene 
tuve que esperar 130 para retirar medicina de la farmacia no había nada",neutro
mi hija tuvo cita con una pediatra pero ella muy arrogante ni siquiera me escuchó cuando trate de explicar la situación de mi hija me interrumpía y de mala gana me dijo que ya me iban a llamar para que mi hija pueda ser intervenida ya,positivo
no hay turnos por  no hay medicinas no atienden en el laboratorio para el agendamiento de citas en la tarde no hay reactivos para exámenes de laboratorio por ende no dan cita para exámenes de laboratorio dan citas para exámenes de imagen después de 4 meses todo un desastre con este gobierno,positivo
se puede mejorar la atención a los pacientes en las áreas en dónde se toma de turnos para los exámenes y también en farmacia,positivo
"no sé para que se asigna citas si los médicos no atienden a tiempo se llega con tiempo respetando lo que indican pero no atienden
las enfermeras no dan información y se pasan conversando en lugar de ayudar
este servicio no es gratuito mensualmente pagamos por el se debe mejorar",negativo
excelente y oportuna atención llegue antes de la hora indicada y me atendieron inmediatamente la dra lina guamaní endocrinóloga muy profesional y atenta felicidades de los pocos hospitales del iess donde tratan bien al paciente,negativo
terrible  la peor atención de las enfermeras ayudantes que orden la cédula peso etc y un médico déspota no piden de favor ni saben preguntar sin modales algunos fue en el 3er piso y el peor servicio,positivo
atendieron muy bien a mi novia además nos ayudaron agendando otra cita en el mismo lugar sigan así,negativo
